block,family,valid,n,mu_mbps,demand,payload_bytes,central_efficiency,local,central,worst_delivery_lift_pp,starvation_reduction_ms,starvation_reduction_fraction,meaningful_gap
B,saturating,True,100,2.2365367026893352,synchronized_burst,132301,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 67660.22272141137, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.5384615384615377, 'worst_inter_delivery_ms': 67660.22272141148, 'aggregate_admitted_mbps': 1.5655756918825352}",-7.771561172376096e-14,-1.1641532182693481e-10,-1.7205873280416306e-15,False
B,saturating,True,100,2.2365367026893352,synchronized_burst,409600,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 209431.9691472324, 'aggregate_admitted_mbps': 1.5655756918825365}","{'worst_delivery_fraction': 0.5384615384615377, 'worst_inter_delivery_ms': 209431.96914723274, 'aggregate_admitted_mbps': 1.5655756918825352}",-7.771561172376096e-14,-3.4924596548080444e-10,-1.6675866960658794e-15,False
B,power_law,True,50,0.6025742181414504,equal,92160,1.0,"{'worst_delivery_fraction': 0.6363636363636364, 'worst_inter_delivery_ms': 87464.744446846, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.6363636363636357, 'worst_inter_delivery_ms': 87464.7444468461, 'aggregate_admitted_mbps': 0.4218019526990143}",-6.661338147750939e-14,-1.0186340659856796e-10,-1.1646224686618995e-15,False
B,power_law,True,50,0.6025742181414504,equal,132301,1.0,"{'worst_delivery_fraction': 0.6363636363636364, 'worst_inter_delivery_ms': 125565.08963767925, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.6363636363636357, 'worst_inter_delivery_ms': 125565.08963767938, 'aggregate_admitted_mbps': 0.4218019526990143}",-6.661338147750939e-14,-1.3096723705530167e-10,-1.0430226859488607e-15,False
B,power_law,True,50,0.6025742181414504,equal,409600,1.0,"{'worst_delivery_fraction': 0.6363636363636364, 'worst_inter_delivery_ms': 388667.7123018988, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.6363636363636357, 'worst_inter_delivery_ms': 388667.7123018992, 'aggregate_admitted_mbps': 0.4218019526990143}",-6.661338147750939e-14,-4.0745362639427185e-10,-1.048334125778323e-15,False
B,power_law,True,50,0.6025742181414504,hot20_traffic80,92160,1.0,"{'worst_delivery_fraction': 0.1590909090909091, 'worst_inter_delivery_ms': 222637.5313192444, 'aggregate_admitted_mbps': 0.21692671853092238}","{'worst_delivery_fraction': 0.6363636363636361, 'worst_inter_delivery_ms': 349858.9777873842, 'aggregate_admitted_mbps': 0.4218019526990158}",47.727272727272705,-127221.4464681398,-0.5714285714285721,True
B,power_law,True,50,0.6025742181414504,hot20_traffic80,132301,1.0,"{'worst_delivery_fraction': 0.1590909090909091, 'worst_inter_delivery_ms': 319620.22816863813, 'aggregate_admitted_mbps': 0.21692671853092238}","{'worst_delivery_fraction': 0.6363636363636361, 'worst_inter_delivery_ms': 502260.35855071724, 'aggregate_admitted_mbps': 0.4218019526990158}",47.727272727272705,-182640.1303820791,-0.571428571428572,True
B,power_law,True,50,0.6025742181414504,hot20_traffic80,409600,1.0,"{'worst_delivery_fraction': 0.1590909090909091, 'worst_inter_delivery_ms': 989335.9949502879, 'aggregate_admitted_mbps': 0.21692671853092238}","{'worst_delivery_fraction': 0.6363636363636361, 'worst_inter_delivery_ms': 1554670.849207596, 'aggregate_admitted_mbps': 0.4218019526990158}",47.727272727272705,-565334.8542573081,-0.5714285714285722,True
B,power_law,True,50,0.6025742181414504,synchronized_burst,92160,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 87464.744446846, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 87464.74444684599, 'aggregate_admitted_mbps': 0.42180195269901566}",1.1102230246251565e-14,1.4551915228366852e-11,1.6637463838027138e-16,False
B,power_law,True,50,0.6025742181414504,synchronized_burst,132301,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 125565.08963767925, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 125565.08963767924, 'aggregate_admitted_mbps': 0.42180195269901566}",1.1102230246251565e-14,1.4551915228366852e-11,1.1589140954987342e-16,False
B,power_law,True,50,0.6025742181414504,synchronized_burst,409600,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 388667.7123018988, 'aggregate_admitted_mbps': 0.42180195269901555}","{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 388667.71230189875, 'aggregate_admitted_mbps': 0.42180195269901566}",1.1102230246251565e-14,5.820766091346741e-11,1.4976201796833185e-16,False
B,power_law,True,100,0.3663311298582041,equal,92160,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 287739.6743236107, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.6363636363636369, 'worst_inter_delivery_ms': 287739.67432361044, 'aggregate_admitted_mbps': 0.2564317909007433}",6.661338147750939e-14,2.9103830456733704e-10,1.0114639395887285e-15,False
B,power_law,True,100,0.3663311298582041,equal,132301,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 413081.3875608788, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.6363636363636369, 'worst_inter_delivery_ms': 413081.38756087836, 'aggregate_admitted_mbps': 0.2564317909007433}",6.661338147750939e-14,4.656612873077393e-10,1.1272870221951391e-15,False
B,power_law,True,100,0.3663311298582041,equal,409600,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 1278630.8548104835, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.6363636363636369, 'worst_inter_delivery_ms': 1278630.8548104821, 'aggregate_admitted_mbps': 0.2564317909007433}",6.661338147750939e-14,1.3969838619232178e-09,1.0925622955737888e-15,False
B,power_law,True,100,0.3663311298582041,hot20_traffic80,92160,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 732428.2619146453, 'aggregate_admitted_mbps': 0.1318792067489533}","{'worst_delivery_fraction': 0.636363636363635, 'worst_inter_delivery_ms': 1150958.697294445, 'aggregate_admitted_mbps': 0.25643179090074286}",47.7272727272726,-418530.4353797997,-0.5714285714285746,True
B,power_law,True,100,0.3663311298582041,hot20_traffic80,132301,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 1051479.8956095094, 'aggregate_admitted_mbps': 0.1318792067489533}","{'worst_delivery_fraction': 0.636363636363635, 'worst_inter_delivery_ms': 1652325.550243518, 'aggregate_admitted_mbps': 0.25643179090074286}",47.7272727272726,-600845.6546340086,-0.5714285714285745,True
B,power_law,True,100,0.3663311298582041,hot20_traffic80,409600,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 3254696.721335775, 'aggregate_admitted_mbps': 0.1318792067489533}","{'worst_delivery_fraction': 0.636363636363635, 'worst_inter_delivery_ms': 5114523.419241943, 'aggregate_admitted_mbps': 0.25643179090074286}",47.7272727272726,-1859826.6979061682,-0.5714285714285747,True
B,power_law,True,100,0.3663311298582041,synchronized_burst,92160,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 287739.6743236107, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.538461538461539, 'worst_inter_delivery_ms': 287739.67432361044, 'aggregate_admitted_mbps': 0.2564317909007433}",5.551115123125783e-14,2.9103830456733704e-10,1.0114639395887285e-15,False
B,power_law,True,100,0.3663311298582041,synchronized_burst,132301,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 413081.3875608788, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.538461538461539, 'worst_inter_delivery_ms': 413081.38756087836, 'aggregate_admitted_mbps': 0.2564317909007433}",5.551115123125783e-14,4.656612873077393e-10,1.1272870221951391e-15,False
B,power_law,True,100,0.3663311298582041,synchronized_burst,409600,1.0,"{'worst_delivery_fraction': 0.5384615384615384, 'worst_inter_delivery_ms': 1278630.8548104835, 'aggregate_admitted_mbps': 0.2564317909007433}","{'worst_delivery_fraction': 0.538461538461539, 'worst_inter_delivery_ms': 1278630.8548104821, 'aggregate_admitted_mbps': 0.2564317909007433}",5.551115123125783e-14,1.3969838619232178e-09,1.0925622955737888e-15,False
