metric,context_family,budget_kib,feasible_profile_count,global_profile,confirmation_frames,confirmation_trajectory_groups,action_change_fraction,mean_global_utility,mean_contextual_utility,mean_utility_lift,ci95_low,ci95_high,p_one_sided,enough_frames,enough_groups,p_holm,practical_reversal
utility_detection_only_frame,nearest_range,251.8,25,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0005931161565532433,0.005023419463839072,0.10497900419916016,True,True,1.0,False
utility_detection_only_frame,nearest_range,260.9,26,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0006661136533049446,0.004959327984073202,0.10277944411117776,True,True,1.0,False
utility_detection_only_frame,nearest_range,267.7,27,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0007403493022185627,0.005094618576627781,0.11397720455908818,True,True,1.0,False
utility_detection_only_frame,nearest_range,289.0,28,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.000615987571335649,0.005039006843148873,0.09858028394321136,True,True,1.0,False
utility_detection_only_frame,nearest_range,341.0,29,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0007135006427431151,0.004978896533751564,0.10237952409518096,True,True,1.0,False
utility_detection_only_frame,nearest_range,392.0,30,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0006049639084912004,0.005063795906427029,0.09838032393521295,True,True,1.0,False
utility_detection_only_frame,nearest_range,452.2,31,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0006978682981183869,0.00496829217709412,0.10937812437512498,True,True,1.0,False
utility_detection_only_frame,nearest_range,565.6,32,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.000642458862822592,0.004992292153576934,0.10377924415116976,True,True,1.0,False
utility_detection_only_frame,nearest_range,598.1,33,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.000575188524460182,0.005126083299827529,0.10497900419916016,True,True,1.0,False
utility_detection_only_frame,nearest_range,759.7,34,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0005739537884651071,0.005043563095701372,0.09878024395120975,True,True,1.0,False
utility_detection_only_frame,nearest_range,784.8,35,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0005955966692910775,0.005028921583428128,0.09958008398320337,True,True,1.0,False
utility_detection_only_frame,nearest_range,1050.3,36,ae128__uint4__roi0.0,829,12,0.25211097708082025,1.0120458422967156,1.0137200284244705,0.001674186127754772,-0.0005708737462281212,0.004903183316630522,0.09698060387922415,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,49.4,1,ae32__uint4__roi0.5,829,12,0.0,1.006772829731313,1.006772829731313,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,61.3,2,ae64__uint4__roi0.5,829,12,0.0,0.9988080264277094,0.9988080264277094,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,64.1,3,ae64__uint4__roi0.5,829,12,0.3896260554885404,0.9988080264277094,1.0053143512260458,0.006506324798336463,0.0016898634951259125,0.01205932632908342,0.001799640071985603,True,True,0.0647870425914817,False
utility_detection_only_frame,vulnerable_present,75.2,4,ae64__uint4__roi0.5,829,12,0.3896260554885404,0.9988080264277094,1.0053143512260458,0.006506324798336463,0.0016608225353076003,0.012309799485664347,0.001799640071985603,True,True,0.0647870425914817,False
utility_detection_only_frame,vulnerable_present,79.2,5,ae128__uint4__roi0.5,829,12,0.0,1.0123369463988932,1.0123369463988932,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,90.0,6,ae128__uint4__roi0.5,829,12,0.0,1.0123369463988932,1.0123369463988932,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,94.2,7,ae128__uint4__roi0.5,829,12,0.0,1.0123369463988932,1.0123369463988932,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,96.4,8,ae128__uint4__roi0.3,829,12,0.0,1.0094744926313362,1.0094744926313362,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,101.1,9,ae128__uint4__roi0.3,829,12,0.0,1.0094744926313362,1.0094744926313362,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,117.9,10,ae128__uint4__roi0.3,829,12,0.0,1.0094744926313362,1.0094744926313362,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,122.7,11,ae128__uint4__roi0.3,829,12,0.0,1.0094744926313362,1.0094744926313362,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,124.4,12,ae128__uint4__roi0.3,829,12,0.0,1.0094744926313362,1.0094744926313362,0.0,0.0,0.0,1.0,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,129.2,13,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020352896121956712,0.0018476834810427173,0.08718256348730254,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,148.6,14,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0001987363344318601,0.0018271924222385513,0.08878224355128975,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,153.9,15,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00019219372394710022,0.0018181901563287897,0.08538292341531693,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,154.6,16,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00021416777905126124,0.0018516173822494565,0.09358128374325135,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,163.4,17,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020994318410189327,0.001850936092068673,0.08838232353529295,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,174.7,18,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020265711005462703,0.001887507880063952,0.09458108378324336,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,192.8,19,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020583470293007662,0.0018717387324940886,0.09178164367126575,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,195.7,20,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020573297407654685,0.001871136085635173,0.09418116376724656,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,200.6,21,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00019492104476418522,0.001832072524056499,0.09318136372725455,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,203.1,22,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00022115618378951957,0.0018667830650268059,0.09978004399120176,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,228.6,23,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00021103874153205539,0.0018381932833962543,0.09618076384723055,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,239.4,24,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0002141521141523641,0.0018197438217663958,0.08518296340731854,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,251.8,25,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0002104767591050574,0.0018496508257509908,0.09398120375924815,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,260.9,26,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00019464102805940485,0.0018024468212575445,0.08838232353529295,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,267.7,27,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.0001860994385327818,0.0018339422323776745,0.08458308338332333,True,True,1.0,False
utility_detection_only_frame,vulnerable_present,289.0,28,ae128__uint4__roi0.0,829,12,0.6103739445114595,1.0120458422967156,1.0127276550305044,0.00068181273378873,-0.00020434656276717062,0.0018109392795762488,0.09218156368726255,True,True,1.0,False
