metric,context_family,budget_kib,context_value,discovery_frames,global_profile,context_profile
utility_v5_frame,nearest_range,49.4,12_25m,244,ae32__uint4__roi0.5,ae32__uint4__roi0.5
utility_v5_frame,nearest_range,49.4,empty,2,ae32__uint4__roi0.5,ae32__uint4__roi0.5
utility_v5_frame,nearest_range,49.4,gt_25m,254,ae32__uint4__roi0.5,ae32__uint4__roi0.5
utility_v5_frame,nearest_range,49.4,le_12m,352,ae32__uint4__roi0.5,ae32__uint4__roi0.5
utility_v5_frame,nearest_range,61.3,12_25m,244,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,61.3,empty,2,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,61.3,gt_25m,254,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,61.3,le_12m,352,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,64.1,12_25m,244,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,64.1,empty,2,ae64__uint4__roi0.5,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,64.1,gt_25m,254,ae64__uint4__roi0.5,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,64.1,le_12m,352,ae64__uint4__roi0.5,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,75.2,12_25m,244,ae64__uint4__roi0.3,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,75.2,empty,2,ae64__uint4__roi0.3,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,75.2,gt_25m,254,ae64__uint4__roi0.3,ae64__uint4__roi0.3
utility_v5_frame,nearest_range,75.2,le_12m,352,ae64__uint4__roi0.3,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,79.2,12_25m,244,ae64__uint4__roi0.3,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,79.2,empty,2,ae64__uint4__roi0.3,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,79.2,gt_25m,254,ae64__uint4__roi0.3,ae64__uint4__roi0.3
utility_v5_frame,nearest_range,79.2,le_12m,352,ae64__uint4__roi0.3,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,90.0,12_25m,244,ae32__uint4__roi0.0,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,90.0,empty,2,ae32__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,90.0,gt_25m,254,ae32__uint4__roi0.0,ae64__uint4__roi0.3
utility_v5_frame,nearest_range,90.0,le_12m,352,ae32__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,94.2,12_25m,244,ae32__uint4__roi0.0,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,94.2,empty,2,ae32__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,94.2,gt_25m,254,ae32__uint4__roi0.0,ae64__uint4__roi0.3
utility_v5_frame,nearest_range,94.2,le_12m,352,ae32__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,96.4,12_25m,244,ae32__uint4__roi0.0,ae64__uint4__roi0.5
utility_v5_frame,nearest_range,96.4,empty,2,ae32__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,96.4,gt_25m,254,ae32__uint4__roi0.0,ae64__uint4__roi0.3
utility_v5_frame,nearest_range,96.4,le_12m,352,ae32__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,101.1,12_25m,244,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,nearest_range,101.1,empty,2,ae64__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,101.1,gt_25m,254,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,nearest_range,101.1,le_12m,352,ae64__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,117.9,12_25m,244,ae64__uint4__roi0.0,ae64__uint6__roi0.5
utility_v5_frame,nearest_range,117.9,empty,2,ae64__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,117.9,gt_25m,254,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,nearest_range,117.9,le_12m,352,ae64__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,122.7,12_25m,244,ae64__uint4__roi0.0,ae64__uint6__roi0.5
utility_v5_frame,nearest_range,122.7,empty,2,ae64__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,122.7,gt_25m,254,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,nearest_range,122.7,le_12m,352,ae64__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,124.4,12_25m,244,ae64__uint4__roi0.0,ae64__uint6__roi0.5
utility_v5_frame,nearest_range,124.4,empty,2,ae64__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,124.4,gt_25m,254,ae64__uint4__roi0.0,ae64__uint4__roi0.0
utility_v5_frame,nearest_range,124.4,le_12m,352,ae64__uint4__roi0.0,ae32__uint4__roi0.0
utility_v5_frame,nearest_range,129.2,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,129.2,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,129.2,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,129.2,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,148.6,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,148.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,148.6,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,148.6,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,153.9,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,153.9,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,153.9,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,153.9,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,154.6,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,154.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,154.6,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,154.6,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,163.4,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,163.4,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,163.4,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,163.4,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,174.7,12_25m,244,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,174.7,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,174.7,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,174.7,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,192.8,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,192.8,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,192.8,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,192.8,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,195.7,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,195.7,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,195.7,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,195.7,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,200.6,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,200.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,200.6,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,200.6,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,203.1,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,203.1,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,203.1,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,203.1,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,228.6,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,228.6,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,228.6,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,228.6,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,239.4,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,239.4,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,239.4,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,239.4,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,251.8,12_25m,244,ae128__uint4__roi0.0,ae128__uint6__roi0.3
utility_v5_frame,nearest_range,251.8,empty,2,ae128__uint4__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,251.8,gt_25m,254,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,251.8,le_12m,352,ae128__uint4__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,260.9,12_25m,244,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,nearest_range,260.9,empty,2,ae128__uint6__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,260.9,gt_25m,254,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,nearest_range,260.9,le_12m,352,ae128__uint6__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,267.7,12_25m,244,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,nearest_range,267.7,empty,2,ae128__uint6__roi0.0,ae32__uint4__roi0.3
utility_v5_frame,nearest_range,267.7,gt_25m,254,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,nearest_range,267.7,le_12m,352,ae128__uint6__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,289.0,12_25m,244,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,nearest_range,289.0,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,nearest_range,289.0,gt_25m,254,ae128__uint6__roi0.0,ae128__uint6__roi0.0
utility_v5_frame,nearest_range,289.0,le_12m,352,ae128__uint6__roi0.0,ae128__uint4__roi0.0
utility_v5_frame,nearest_range,341.0,12_25m,244,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,nearest_range,341.0,empty,2,ae128__uint6__roi0.0,noae__uint4__roi0.3
utility_v5_frame,nearest_range,341.0,gt_25m,254,ae128__uint6__roi0.0,ae128__uint6__roi0.0
