profile,model,quant,roi,kb_bin0,kb_bin1-2,kb_bin3-4,kb_bin5+,spread_pct
noae/u6/q0.3,noae,per_channel_uint6,0.3,570.4,565.6,563.5,556.0,2.51
noae/u6/q0.5,noae,per_channel_uint6,0.5,457.3,451.8,450.1,444.1,2.89
noae/u6/q0.7,noae,per_channel_uint6,0.7,326.0,321.7,321.1,315.5,3.23
noae/u6/q0.9,noae,per_channel_uint6,0.9,158.7,155.9,153.7,148.4,6.48
noae/u6/q0.98,noae,per_channel_uint6,0.98,63.5,60.8,57.9,55.0,13.44
noae/u8/q0,noae,per_channel_uint8,0.0,1062.1,1050.4,1042.4,1033.7,2.67
noae/u8/q0.3,noae,per_channel_uint8,0.3,767.3,759.6,755.5,746.7,2.68
noae/u8/q0.5,noae,per_channel_uint8,0.5,604.4,597.9,594.9,588.3,2.67
noae/u8/q0.7,noae,per_channel_uint8,0.7,415.4,410.7,408.9,402.8,3.04
noae/u8/q0.9,noae,per_channel_uint8,0.9,189.6,187.1,185.3,179.5,5.32
noae/u8/q0.98,noae,per_channel_uint8,0.98,68.2,66.0,63.2,60.2,11.82
