sample_id,frame_id,scenario_id,view_id,traffic_light_id,n_inview,n_inview_veh,n_inview_ped,density_bin,gt_dist_mean_m,gt_dist_min_m,gt_speed_mean_mps,gt_speed_max_mps,frac_parked,frac_moving,camera_x,camera_y
moving_ego_pps200000_low_8loops_stride2_000897_frame83838,83838,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.231,37.231,0.0,0.0,1.0,0.0,-45.215309143066406,-14.337096214294434
moving_ego_pps200000_low_8loops_stride2_000903_frame83850,83850,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.27113723754883,-18.316476821899414
moving_ego_pps200000_low_8loops_stride2_000906_frame83856,83856,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.296058654785156,-20.305803298950195
moving_ego_pps200000_low_8loops_stride2_000914_frame83872,83872,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.3454704284668,-25.638866424560547
moving_ego_pps200000_low_8loops_stride2_000918_frame83880,83880,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.3610954284668,-28.29827117919922
moving_ego_pps200000_low_8loops_stride2_000920_frame83884,83884,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.367271423339844,-29.63199806213379
moving_ego_pps200000_low_8loops_stride2_000923_frame83890,83890,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.37057113647461,-31.62919807434082
moving_ego_pps200000_low_8loops_stride2_000926_frame83896,83896,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.3682861328125,-33.62306213378906
moving_ego_pps200000_low_8loops_stride2_000927_frame83898,83898,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.364662170410156,-34.2879524230957
moving_ego_pps200000_low_8loops_stride2_000958_frame83960,83960,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000964_frame83972,83972,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000965_frame83974,83974,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000967_frame83978,83978,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000977_frame83998,83998,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000978_frame84000,84000,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000984_frame84012,84012,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000989_frame84022,84022,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_000994_frame84032,84032,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
moving_ego_pps200000_low_8loops_stride2_001000_frame84044,84044,moving_ego_training,autopilot_spawn80,,0,0,0,0,,,,,,,-45.30586624145508,-40.512962341308594
