model,quant,roi,profile,density_bin,frames,gt_objs,payload_kb,recall,precision,recall_veh,recall_ped,loc_m,fp_per_frame,pred_per_frame,transport_ms_derived
ae128,per_channel_uint6,0.7,ae128/u6/q0.7,ALL,2162,3899,109.6731,0.9102,0.5252,0.9267,0.8819,0.9431,1.4838,3.1253,2.067
ae128,per_channel_uint6,0.9,ae128/u6/q0.9,0,483,0,57.3022,nan,0.0,nan,nan,nan,0.0642,0.0642,1.59
ae128,per_channel_uint6,0.9,ae128/u6/q0.9,1-2,1091,1579,57.8048,0.9386,0.4842,0.9541,0.8989,0.8402,1.4473,2.8057,1.594
ae128,per_channel_uint6,0.9,ae128/u6/q0.9,3-4,453,1528,59.0642,0.8933,0.5242,0.9011,0.881,1.0217,2.7351,5.7483,1.606
ae128,per_channel_uint6,0.9,ae128/u6/q0.9,5+,135,792,58.7057,0.8573,0.5673,0.8655,0.8492,1.2288,3.837,8.8667,1.602
ae128,per_channel_uint6,0.9,ae128/u6/q0.9,ALL,2162,3899,58.0126,0.9043,0.5115,0.9198,0.8777,0.9853,1.5574,3.1883,1.596
ae128,per_channel_uint6,0.98,ae128/u6/q0.98,0,483,0,20.4166,nan,0.0,nan,nan,nan,0.0414,0.0414,1.253
ae128,per_channel_uint6,0.98,ae128/u6/q0.98,1-2,1091,1579,22.7063,0.8968,0.4856,0.9056,0.8742,1.0681,1.3749,2.6728,1.274
ae128,per_channel_uint6,0.98,ae128/u6/q0.98,3-4,453,1528,24.0037,0.8272,0.5302,0.8149,0.8469,1.2623,2.4724,5.2627,1.286
ae128,per_channel_uint6,0.98,ae128/u6/q0.98,5+,135,792,24.4833,0.8169,0.5582,0.8071,0.8266,1.397,3.7926,8.5852,1.29
ae128,per_channel_uint6,0.98,ae128/u6/q0.98,ALL,2162,3899,22.5776,0.8533,0.5135,0.8553,0.8498,1.2059,1.4579,2.9968,1.273
ae128,per_channel_uint8,0.0,ae128/u8/q0,0,483,0,341.5329,nan,0.0,nan,nan,nan,0.0435,0.0435,4.183
ae128,per_channel_uint8,0.0,ae128/u8/q0,1-2,1091,1579,340.8634,0.9386,0.513,0.9506,0.9079,0.7314,1.2896,2.648,4.177
ae128,per_channel_uint8,0.0,ae128/u8/q0,3-4,453,1528,340.7108,0.9012,0.5432,0.9138,0.881,0.9145,2.5563,5.596,4.175
ae128,per_channel_uint8,0.0,ae128/u8/q0,5+,135,792,340.696,0.8611,0.5895,0.8655,0.8568,1.0865,3.5185,8.5704,4.175
ae128,per_channel_uint8,0.0,ae128/u8/q0,ALL,2162,3899,340.9705,0.9082,0.5364,0.923,0.8826,0.871,1.4158,3.0537,4.178
ae128,per_channel_uint8,0.3,ae128/u8/q0.3,0,483,0,252.4806,nan,0.0,nan,nan,nan,0.0435,0.0435,3.37
ae128,per_channel_uint8,0.3,ae128/u8/q0.3,1-2,1091,1579,251.5287,0.9386,0.5135,0.9506,0.9079,0.7324,1.2869,2.6453,3.362
ae128,per_channel_uint8,0.3,ae128/u8/q0.3,3-4,453,1528,251.8216,0.9005,0.545,0.9117,0.8827,0.911,2.5364,5.574,3.364
ae128,per_channel_uint8,0.3,ae128/u8/q0.3,5+,135,792,251.076,0.8636,0.5927,0.8706,0.8568,1.0996,3.4815,8.5481,3.358
ae128,per_channel_uint8,0.3,ae128/u8/q0.3,ALL,2162,3899,251.7745,0.9084,0.5378,0.923,0.8833,0.8727,1.408,3.0463,3.364
ae128,per_channel_uint8,0.5,ae128/u8/q0.5,0,483,0,200.8633,nan,0.0,nan,nan,nan,0.0559,0.0559,2.899
ae128,per_channel_uint8,0.5,ae128/u8/q0.5,1-2,1091,1579,200.0691,0.9367,0.5019,0.9524,0.8966,0.7884,1.3456,2.7012,2.892
ae128,per_channel_uint8,0.5,ae128/u8/q0.5,3-4,453,1528,201.5282,0.9051,0.5373,0.916,0.8878,0.9757,2.6291,5.6821,2.905
ae128,per_channel_uint8,0.5,ae128/u8/q0.5,5+,135,792,200.2956,0.8636,0.5841,0.8756,0.8518,1.1765,3.6074,8.6741,2.894
ae128,per_channel_uint8,0.5,ae128/u8/q0.5,ALL,2162,3899,200.5664,0.9095,0.5278,0.9263,0.8805,0.9363,1.4676,3.1078,2.897
ae128,per_channel_uint8,0.7,ae128/u8/q0.7,0,483,0,138.412,nan,0.0,nan,nan,nan,0.0559,0.0559,2.33
ae128,per_channel_uint8,0.7,ae128/u8/q0.7,1-2,1091,1579,140.2513,0.9373,0.497,0.955,0.8921,0.7931,1.3731,2.7296,2.346
ae128,per_channel_uint8,0.7,ae128/u8/q0.7,3-4,453,1528,143.1786,0.9045,0.5373,0.9138,0.8895,0.9784,2.6269,5.6777,2.373
ae128,per_channel_uint8,0.7,ae128/u8/q0.7,5+,135,792,142.3381,0.8636,0.5861,0.8731,0.8543,1.1816,3.5778,8.6444,2.365
ae128,per_channel_uint8,0.7,ae128/u8/q0.7,ALL,2162,3899,140.5841,0.9095,0.5258,0.9263,0.8805,0.9402,1.4792,3.1193,2.349
ae128,per_channel_uint8,0.9,ae128/u8/q0.9,0,483,0,70.523,nan,0.0,nan,nan,nan,0.06,0.06,1.71
ae128,per_channel_uint8,0.9,ae128/u8/q0.9,1-2,1091,1579,70.9526,0.9386,0.484,0.9541,0.8989,0.8396,1.4482,2.8066,1.714
ae128,per_channel_uint8,0.9,ae128/u8/q0.9,3-4,453,1528,72.4505,0.8914,0.5242,0.9,0.8776,1.0207,2.7285,5.7351,1.728
ae128,per_channel_uint8,0.9,ae128/u8/q0.9,5+,135,792,72.2454,0.8548,0.567,0.8629,0.8467,1.2214,3.8296,8.8444,1.726
ae128,per_channel_uint8,0.9,ae128/u8/q0.9,ALL,2162,3899,71.2512,0.9031,0.5116,0.919,0.8756,0.9831,1.555,3.1836,1.717
ae128,per_channel_uint8,0.98,ae128/u8/q0.98,0,483,0,23.3988,nan,0.0,nan,nan,nan,0.0414,0.0414,1.28
ae128,per_channel_uint8,0.98,ae128/u8/q0.98,1-2,1091,1579,25.9223,0.8968,0.4841,0.9056,0.8742,1.0655,1.3831,2.681,1.303
ae128,per_channel_uint8,0.98,ae128/u8/q0.98,3-4,453,1528,27.5314,0.8279,0.53,0.816,0.8469,1.254,2.4768,5.2693,1.318
ae128,per_channel_uint8,0.98,ae128/u8/q0.98,5+,135,792,28.1568,0.8157,0.5574,0.8046,0.8266,1.3936,3.8,8.5852,1.324
ae128,per_channel_uint8,0.98,ae128/u8/q0.98,ALL,2162,3899,25.8352,0.8533,0.5126,0.8553,0.8498,1.2009,1.4635,3.0023,1.302
ae32,per_channel_uint4,0.0,ae32/u4/q0,0,483,0,90.3875,nan,0.0,nan,nan,nan,0.0435,0.0435,1.891
ae32,per_channel_uint4,0.0,ae32/u4/q0,1-2,1091,1579,90.048,0.9329,0.5222,0.9489,0.8921,0.7542,1.2356,2.5857,1.888
ae32,per_channel_uint4,0.0,ae32/u4/q0,3-4,453,1528,89.5412,0.8894,0.5447,0.9085,0.8588,0.9217,2.5077,5.5077,1.884
ae32,per_channel_uint4,0.0,ae32/u4/q0,5+,135,792,89.3281,0.8561,0.5921,0.8883,0.8241,1.0776,3.4593,8.4815,1.882
ae32,per_channel_uint4,0.0,ae32/u4/q0,ALL,2162,3899,89.9727,0.9002,0.5415,0.9238,0.8595,0.8815,1.3747,2.9981,1.888
ae32,per_channel_uint4,0.3,ae32/u4/q0.3,0,483,0,64.22,nan,0.0,nan,nan,nan,0.0393,0.0393,1.653
ae32,per_channel_uint4,0.3,ae32/u4/q0.3,1-2,1091,1579,64.1715,0.9367,0.521,0.9515,0.8989,0.7598,1.2466,2.6022,1.652
ae32,per_channel_uint4,0.3,ae32/u4/q0.3,3-4,453,1528,63.8475,0.8868,0.5431,0.9043,0.8588,0.9169,2.5166,5.5077,1.649
ae32,per_channel_uint4,0.3,ae32/u4/q0.3,5+,135,792,63.5421,0.8485,0.5921,0.8807,0.8166,1.0663,3.4296,8.4074,1.647
ae32,per_channel_uint4,0.3,ae32/u4/q0.3,ALL,2162,3899,64.0751,0.8992,0.5404,0.9222,0.8595,0.8793,1.3793,3.0009,1.651
ae32,per_channel_uint4,0.5,ae32/u4/q0.5,0,483,0,49.4339,nan,0.0,nan,nan,nan,0.058,0.058,1.518
ae32,per_channel_uint4,0.5,ae32/u4/q0.5,1-2,1091,1579,49.4222,0.9284,0.5113,0.948,0.8787,0.8115,1.2841,2.6279,1.518
ae32,per_channel_uint4,0.5,ae32/u4/q0.5,3-4,453,1528,49.4535,0.8901,0.5371,0.9053,0.8656,0.9725,2.5872,5.5894,1.518
ae32,per_channel_uint4,0.5,ae32/u4/q0.5,5+,135,792,49.0673,0.8384,0.5897,0.8756,0.8015,1.1168,3.4222,8.3407,1.514
ae32,per_channel_uint4,0.5,ae32/u4/q0.5,ALL,2162,3899,49.4092,0.8951,0.5326,0.9202,0.8519,0.9323,1.4167,3.031,1.518
ae32,per_channel_uint4,0.7,ae32/u4/q0.7,0,483,0,33.5381,nan,0.0,nan,nan,nan,0.0621,0.0621,1.373
