profile,family,quantizer,bit_width,q,q_e4,keep_count,zstd_level,frames,exact_round_trips,pre_zstd_median_bytes,pre_zstd_p95_bytes,compressed_median_bytes,compressed_p95_bytes,compressed_to_pre_zstd_ratio,compressed_ratio_relative_to_level1,compression_median_ms,compression_p95_ms,decompression_median_ms,decompression_p95_ms,compression_median_MBps,decompression_median_MBps
AE128_UINT4_q00000,AE128,UINT4,4,0.00,0,21504,3,128,128,1377332.0,1377332.0,873759.5,937030.1,0.62978671,0.98596313,2.940397,3.473338,0.824912,0.906884,468.417,1669.671
AE128_UINT4_q00000,AE128,UINT4,4,0.00,0,21504,5,128,128,1377332.0,1377332.0,870840.0,937588.4,0.62708364,0.98173134,7.485009,8.526884,0.866705,0.922386,184.012,1589.159
AE128_UINT4_q03000,AE128,UINT4,4,0.30,3000,15053,1,128,128,967156.0,967156.0,672010.5,690461.6,0.69026832,1.00000000,0.838661,1.124467,0.540292,0.619229,1153.245,1790.063
AE128_UINT4_q03000,AE128,UINT4,4,0.30,3000,15053,3,128,128,967156.0,967156.0,668860.5,687680.3,0.68544180,0.99300776,1.506708,1.980333,0.566700,0.648829,641.900,1706.647
AE128_UINT4_q03000,AE128,UINT4,4,0.30,3000,15053,5,128,128,967156.0,967156.0,667144.0,685802.0,0.68383356,0.99067789,3.137759,4.917676,0.572822,0.646315,308.232,1688.406
AE128_UINT4_q05000,AE128,UINT4,4,0.50,5000,10752,1,128,128,691892.0,691892.0,498922.5,508091.0,0.71678134,1.00000000,0.575035,0.681964,0.386630,0.426763,1203.218,1789.546
AE128_UINT4_q05000,AE128,UINT4,4,0.50,5000,10752,3,128,128,691892.0,691892.0,495429.5,506338.7,0.71265707,0.99424613,0.865225,1.125554,0.397014,0.436349,799.672,1742.743
AE128_UINT4_q05000,AE128,UINT4,4,0.50,5000,10752,5,128,128,691892.0,691892.0,494612.5,505962.2,0.71142091,0.99252153,1.577637,2.331043,0.401392,0.441343,438.563,1723.737
AE128_UINT4_q07000,AE128,UINT4,4,0.70,7000,6451,1,128,128,416628.0,416628.0,309687.0,313644.8,0.74062424,1.00000000,0.286564,0.363382,0.234123,0.253121,1453.882,1779.526
AE128_UINT4_q07000,AE128,UINT4,4,0.70,7000,6451,3,128,128,416628.0,416628.0,309295.0,313497.4,0.73975253,0.99882300,0.367636,0.497944,0.234275,0.252874,1133.262,1778.372
