profile_id,trace_id,trace_step_index,target_snr_db,mapped_rfsim_command_db,scheduled_monotonic_ns,interval_end_monotonic_ns,command_send_monotonic_ns,command_send_wall_ns,command_ack_monotonic_ns,command_ack_wall_ns,command_latency_ms,command_timing_status,achieved_pusch_snr_count,achieved_pusch_snr_median_db,achieved_pusch_snr_p05_db,achieved_pusch_snr_p95_db,target_minus_achieved_error_db,mcs_median,application_sequence,application_message_count,application_send_ok_count,application_acked_count,application_delivery_ack_result,application_ack_latency_ms,application_ack_latencies_ms,ue_pdu_session_status
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,21,21.9334,-11.0,1665097584467951,1665097684467951,1665097584604652,1787450452521060434,1665097584674875,1787450452521130080,0.070223,ON_TIME,9,22.0,21.2,22.3,-0.0666000000000011,26.0,112,1,1,1,ACKED,26.0882,26.088200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,22,21.311411,-10.75,1665097684467951,1665097784467951,1665097684583152,1787450452621038441,1665097684644861,1787450452621100096,0.061709,ON_TIME,8,21.5,20.674999999999997,21.825,-0.18858900000000034,26.0,113,1,1,1,ACKED,23.2722,23.272200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,23,22.063209,-11.25,1665097784467951,1665097884467951,1665097784601151,1787450452721056572,1665097784666011,1787450452721121250,0.06486,ON_TIME,10,22.0,20.950000000000003,22.5,0.06320900000000051,26.0,114,1,1,1,ACKED,21.2248,21.224800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,24,22.604802,-11.5,1665097884467951,1665097984467951,1665097884592181,1787450452821047580,1665097884874396,1787450452821329781,0.282215,ON_TIME,8,22.75,22.0,23.0,-0.1451980000000006,26.0,115,1,1,1,ACKED,20.9607,20.960700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,25,22.19603,-11.25,1665097984467951,1665098084467951,1665097984587065,1787450452921042450,1665097984654147,1787450452921109361,0.067082,ON_TIME,8,22.5,21.5,22.5,-0.30396999999999963,26.0,116,1,1,1,ACKED,21.4031,21.403100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,26,22.569977,-11.5,1665098084467951,1665098184467951,1665098084626204,1787450453021082110,1665098084727627,1787450453021182923,0.101423,ON_TIME,8,22.5,22.0,23.0,0.06997700000000151,26.0,117,1,1,1,ACKED,19.8837,19.883700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,27,21.580849,-11.0,1665098184467951,1665098284467951,1665098184633830,1787450453121089358,1665098185054570,1787450453121509968,0.42074,ON_TIME,6,21.75,21.125,22.0,-0.16915099999999939,26.5,118,1,1,1,ACKED,24.4459,24.445900,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,28,23.465505,-11.75,1665098284467951,1665098384467951,1665098284610757,1787450453221066200,1665098285139976,1787450453221595378,0.529219,ON_TIME,6,23.0,21.625,23.375,0.4655050000000003,27.0,119,1,1,1,ACKED,26.5941,26.594100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,29,21.860529,-11.0,1665098384467951,1665098484467951,1665098384622064,1787450453321077420,1665098385362394,1787450453321817844,0.74033,ON_TIME,8,22.25,21.5,23.325,-0.38947100000000034,27.0,120,1,1,1,ACKED,25.6675,25.667500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,30,23.331431,-11.75,1665098484467951,1665098584467951,1665098484608124,1787450453421063485,1665098484895228,1787450453421350459,0.287104,ON_TIME,9,23.0,21.700000000000003,23.5,0.3314309999999985,27.0,121,1,1,1,ACKED,23.0158,23.015800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,31,22.663084,-11.5,1665098584467951,1665098684467951,1665098584650914,1787450453521106568,1665098584967424,1787450453521422879,0.31651,ON_TIME,10,23.0,22.0,23.0,-0.33691599999999866,27.0,122,1,1,1,ACKED,20.54,20.540000,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,32,23.862317,-12.0,1665098684467951,1665098784467951,1665098684624302,1787450453621079716,1665098684994317,1787450453621449683,0.370015,ON_TIME,6,23.5,23.125,24.0,0.3623170000000009,27.0,123,1,1,1,ACKED,21.1643,21.164300,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,33,21.47382,-11.0,1665098784467951,1665098884467951,1665098784630219,1787450453721085991,1665098785251984,1787450453721707459,0.621765,ON_TIME,8,22.0,21.0,22.0,-0.5261800000000001,27.0,124,1,1,1,ACKED,21.1993,21.199300,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,34,21.601417,-11.0,1665098884467951,1665098984467951,1665098884989886,1787450453821445553,1665098885138460,1787450453821594106,0.148574,ON_TIME,8,21.5,21.0,22.0,0.10141700000000142,27.0,125,1,1,1,ACKED,20.2354,20.235400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,35,21.083078,-10.75,1665098984467951,1665099084467951,1665098984618281,1787450453921073801,1665098984706354,1787450453921161584,0.088073,ON_TIME,8,21.0,20.5,21.5,0.08307800000000043,27.0,126,1,1,1,ACKED,20.2875,20.287500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,36,22.055442,-11.25,1665099084467951,1665099184467951,1665099084612112,1787450454021067380,1665099084667171,1787450454021122388,0.055059,ON_TIME,8,22.25,21.5,22.5,-0.19455800000000067,27.0,127,1,1,1,ACKED,21.2818,21.281800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,37,22.255941,-11.25,1665099184467951,1665099284467951,1665099184832794,1787450454121288204,1665099184898040,1787450454121353260,0.065246,ON_TIME,6,22.0,21.625,22.375,0.255941,27.0,128,1,1,1,ACKED,24.3877,24.387700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,38,20.970582,-10.75,1665099284467951,1665099384467951,1665099284582019,1787450454221037260,1665099284666764,1787450454221122048,0.084745,ON_TIME,7,21.5,20.65,21.85,-0.5294179999999997,27.0,129,1,1,1,ACKED,22.2637,22.263700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,39,23.446831,-11.75,1665099384467951,1665099484467951,1665099384577935,1787450454321033141,1665099384647756,1787450454321102976,0.069821,ON_TIME,10,22.75,20.950000000000003,23.5,0.6968309999999995,26.0,130,1,1,1,ACKED,20.929,20.929000,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,40,23.331214,-11.75,1665099484467951,1665099584467951,1665099484564150,1787450454421019381,1665099484629870,1787450454421085081,0.06572,ON_TIME,6,23.5,22.625,23.5,-0.16878600000000077,27.0,131,1,1,1,ACKED,15.6655,15.665500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,41,19.490253,-10.0,1665099584467951,1665099684467951,1665099584650123,1787450454521105693,1665099584743629,1787450454521198830,0.093506,ON_TIME,6,20.0,19.625,20.875,-0.5097470000000008,27.0,132,1,1,1,ACKED,28.7932,28.793200,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,42,22.170157,-11.25,1665099684467951,1665099784467951,1665099684591605,1787450454621046921,1665099684666646,1787450454621121834,0.075041,ON_TIME,9,20.5,19.7,22.3,1.6701569999999997,26.0,133,1,1,1,ACKED,25.4195,25.419500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,43,21.164346,-10.75,1665099784467951,1665099884467951,1665099784607802,1787450454721063137,1665099784678715,1787450454721133932,0.070913,ON_TIME,10,21.5,20.5,21.775,-0.3356540000000017,26.0,134,1,1,1,ACKED,22.2106,22.210600,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
