purpose,rfsim_command,commanded_noise_power_db,send_monotonic_ns,send_wall_ns,ack_monotonic_ns,ack_wall_ns,command_latency_ms,status,control_session_id,ran_epoch_id,upper_anchor_attempt,profile_id,trace_id,trace_step_index,scheduled_monotonic_ns,interval_end_monotonic_ns
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -9.75,-9.75,1665097284587720,1787450452221042954,1665097284678126,1787450452221133334,0.090406,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,18,1665097284467951,1665097384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665097384601990,1787450452321057335,1665097385389553,1787450452321844786,0.787563,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,19,1665097384467951,1665097484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665097484583817,1787450452421039105,1665097484644179,1787450452421099382,0.060362,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,20,1665097484467951,1665097584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665097584604652,1787450452521060434,1665097584674875,1787450452521130080,0.070223,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,21,1665097584467951,1665097684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665097684583152,1787450452621038441,1665097684644861,1787450452621100096,0.061709,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,22,1665097684467951,1665097784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665097784601151,1787450452721056572,1665097784666011,1787450452721121250,0.06486,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,23,1665097784467951,1665097884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665097884592181,1787450452821047580,1665097884874396,1787450452821329781,0.282215,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,24,1665097884467951,1665097984467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665097984587065,1787450452921042450,1665097984654147,1787450452921109361,0.067082,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,25,1665097984467951,1665098084467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665098084626204,1787450453021082110,1665098084727627,1787450453021182923,0.101423,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,26,1665098084467951,1665098184467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665098184633830,1787450453121089358,1665098185054570,1787450453121509968,0.42074,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,27,1665098184467951,1665098284467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.75,-11.75,1665098284610757,1787450453221066200,1665098285139976,1787450453221595378,0.529219,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,28,1665098284467951,1665098384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665098384622064,1787450453321077420,1665098385362394,1787450453321817844,0.74033,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,29,1665098384467951,1665098484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.75,-11.75,1665098484608124,1787450453421063485,1665098484895228,1787450453421350459,0.287104,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,30,1665098484467951,1665098584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665098584650914,1787450453521106568,1665098584967424,1787450453521422879,0.31651,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,31,1665098584467951,1665098684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -12.0,-12.0,1665098684624302,1787450453621079716,1665098684994317,1787450453621449683,0.370015,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,32,1665098684467951,1665098784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665098784630219,1787450453721085991,1665098785251984,1787450453721707459,0.621765,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,33,1665098784467951,1665098884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665098884989886,1787450453821445553,1665098885138460,1787450453821594106,0.148574,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,34,1665098884467951,1665098984467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665098984618281,1787450453921073801,1665098984706354,1787450453921161584,0.088073,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,35,1665098984467951,1665099084467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665099084612112,1787450454021067380,1665099084667171,1787450454021122388,0.055059,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,36,1665099084467951,1665099184467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665099184832794,1787450454121288204,1665099184898040,1787450454121353260,0.065246,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,37,1665099184467951,1665099284467951
