run_id,run_label,sample_id,density,fp_plus_fn
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000115_frame38584,crowded,33
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000074_frame38502,crowded,32
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000096_frame38546,crowded,32
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000130_frame38614,crowded,32
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000066_frame38486,crowded,31
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000105_frame38564,crowded,30
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000113_frame38580,crowded,30
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000144_frame38642,crowded,30
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000103_frame38560,crowded,29
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000172_frame38698,crowded,29
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000241_frame38836,crowded,29
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000126_frame38606,crowded,27
moving12,"Moving model, 12 loops",moving_ego_tl16_spawn80_fixedroute_speed60_crowded_12loops_cap9000_stride2_000242_frame38838,crowded,27
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000002_frame1084100,crowded,55
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000005_frame1084106,crowded,54
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000040_frame1084176,crowded,47
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000037_frame1084170,crowded,46
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000043_frame1084182,crowded,42
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_medium_stride2_000000_frame1078872,medium,41
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000082_frame1084260,crowded,41
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000054_frame1084204,crowded,40
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000089_frame1084274,crowded,39
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_medium_stride2_000004_frame1078880,medium,38
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000110_frame1084316,crowded,38
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000062_frame1084220,crowded,37
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000116_frame1084328,crowded,37
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000138_frame1084372,crowded,37
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_medium_stride2_000007_frame1078886,medium,36
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000114_frame1084324,crowded,36
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000140_frame1084376,crowded,36
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_medium_stride2_000009_frame1078890,medium,35
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000117_frame1084330,crowded,35
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000091_frame1084278,crowded,34
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000166_frame1084428,crowded,33
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000096_frame1084288,crowded,32
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000113_frame1084322,crowded,32
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000124_frame1084344,crowded,32
radar12k_pilot,"Moving radar-12k pilot, 2 loops",moving_ego_radarpps12000_classaware_2loops_cap2200_crowded_stride2_000224_frame1084544,crowded,32
