action_index,profile_id,model_family,quantization_mode,quantization_bits,roi_drop_fraction,checkpoint_sha256,action_contract_sha256,registry_binding_status,fixture_status,production_codec_status,in_memory_wire_status,wire_shape_status,map_schema_status,model_front_status,model_edge_status,roi_execution_status,ae_execution_status,tail_execution_status,actual_udp_status,technical_validity_status,blocking_codes,pickle_bytes,zstd_bytes,udp_chunks,payload_bytes_uncompressed,max_quantization_abs_error,compressed_sha256
10,noae__u6__q0.9__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.9,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,effecc85b0f12a2e01b4af9965540bb8601b9e3546ba995da71302e1321ce9a9,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,184971,4,2903040,,a8be2f854371989b282b7f65e5d5c73dd6e816723937dcfd10c90d4556b8f0fb
11,noae__u6__q0.98__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.98,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,e85852e5fdbbfbf93788f0915935654c1f2f000ec10dc0ad59d862c445beff53,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098125,69278,2,2903040,,ee4d4749d2155a3dffec950cc01ea7a8abb5c07ec2bad2c66faedf57c6779d62
12,noae__u4__q0__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,09a9972846290599c08102937fa00dc6f60c504de21fb0ded91d29fe2dfd41bd,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735239,406851,7,2903040,,8161982e4fd5141e0c0d7132d78cf468809707f76651fd1a84a1e437aa75990b
13,noae__u4__q0.3__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0.3,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,f106dc204c6d256807c80b2eea9c0338ef54ca2da74ba43abe929baa159de400,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735243,312601,6,2903040,,6cdbd0258def36309d6d40648b6cf9ce5d051aea782c7a32f46fb6460ee3dc01
14,noae__u4__q0.5__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0.5,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,bbd4e5c813bf744c01e1e89d8dd194c334816c625853a2bd21757a8233e4b49b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735243,275461,5,2903040,,26096a7e286ba1dc337c714eb363721d42a7575e1d6fd1e3df75b781fd398cbe
15,noae__u4__q0.7__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0.7,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,980a35e7b3a8bd1292d6e6f5f9d6c5d7de5e1b643a3bbd03ddfa6eb26aa778fc,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735243,202934,4,2903040,,4a4792fa2c6074c9ece1d711294b549118d7ea1c4c547005a76ffa061dec8bad
16,noae__u4__q0.9__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0.9,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,bfa63e1c8b4e5d23cd0c573f5c3ab0f7facdee9961f09e73c4030de590bee697,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735243,115435,2,2903040,,95421066972f217c07457a9e8194cf8dc53ce5ae62931e077a75bf5924a1aad7
17,noae__u4__q0.98__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint4,4,0.98,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,dc79373c4073d5ffd0dab4232ef83cf48097c8bfdb564424af46258b5b6ec167,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,735245,49632,1,2903040,,efb316eb4ec3f2112f366cef3c61cc33c6dca1d6599db05666723b382e97b70b
18,ae32__u8__q0__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,99187ae9b139490392325fd34249b7855607ca567f364d0d59d7d35a22300334,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250877,235001,4,497664,,da958c9d5dd66b51c84870bc147354208bb52d160c2ef654b722ef36a43bff01
19,ae32__u8__q0.3__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0.3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,10e8aa574f9e6f09ef94fc18756945110f7899273d5686ff99ae930a6f53348f,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250881,171694,3,497664,,fcf341aa674b0a8453745284114769acd82b13fa171d1fe414b82e54cb4a6dd6
20,ae32__u8__q0.5__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0.5,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,deb3c6b446c1f82a261b85f989775d0d73d8c310abf8f475fbb6c2b91b39e805,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250881,132740,3,497664,,85479e571a4f63e0ba721171b91d44eaa6bd349731ae953df6030e6d896607d0
21,ae32__u8__q0.7__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0.7,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,166b036984b3033d25f8dea01f795286a2c515ee0b48004cade617c31c1eebd8,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250881,88694,2,497664,,bb7c7d00860686339dc551c991eae16184ec2e62c11e5db8c7b271cbc026fa49
22,ae32__u8__q0.9__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0.9,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,3abdc2ec14708e77303b5376de49149714942b15397220947513cb13847817c5,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250881,39200,1,497664,,eabe6c4fbbfda5e4cdc8515b9f073dbac3170a6a1c73be87d80a3b71800bbaca
23,ae32__u8__q0.98__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint8,8,0.98,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,ea0c2aa47374c4e35e09131fc276c8197ccb820ab5d3cb29795e0d38b4312402,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,250883,15443,1,497664,,8dd41c2cd7eebe99b1f1fc090773e0716a6655c139518d48b043aca6be7c94a6
24,ae32__u6__q0__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,8003183a53957a3b5b895ceec6e747338cbb97a8790ded546408cd018700588d,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188669,179839,3,497664,,f885d517bf032a5fc2ca4f7e84d1bef7b921777802a5020badc8f286bf63fdb6
25,ae32__u6__q0.3__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0.3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,c16d21bb18700ded307337202d69437b4178f1e34316c1aca1e1067326ac7cec,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188673,131781,3,497664,,03bf508914daf3e8524b98ff7ef3d1dc14de08669cb802ca557f4666ddbf61db
26,ae32__u6__q0.5__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0.5,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,408490511b5d8929ab42c5075fef48c813650e0caffad32c6cc9bc51f0a3271b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188673,103440,2,497664,,1f4f85ad06e614cfe6450f8a1938278d111fb9b795a32cb4d252a95483f63508
27,ae32__u6__q0.7__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0.7,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,93fa9cacf8642c6dd6591e2b6128468b70a2ff2aea2c8bde3dc8f7a634999fa7,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188673,70682,2,497664,,4f06fb01bfcdb85ef3cd7cb7eafc5e3500585dce638d757d05cf75f99463257f
28,ae32__u6__q0.9__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0.9,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,701c7f1793ecb4e7d52191f36a956ee36e97d2460abafe28dd2dc86589b7b602,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188673,33112,1,497664,,8041b75639125c313b70d4358a8e8b9f7d4c5454a7c2eba3a7da7b167ba37b07
29,ae32__u6__q0.98__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint6,6,0.98,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,dc0068276745ceb0e90825bd1eb629b681cb39f0cfc0aa7cc0cb755b2c8b2183,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,188675,14413,1,497664,,23338866e6c58a1294a51c2cfdd790da2c437df3f176f5e8d5942d977ce23296
30,ae32__u4__q0__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,3af8fde4d0475c0acfd85d6557f228c2c1e447d056932656931e2e0b3af84701,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126461,91739,2,497664,,ff9929cfc21ab1ed4f3d1a43765c1da9d412a0403b3c1b30773ec4006f988c30
31,ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0.3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,4341b457d79693f5f9398ee6ebc4b3a6e8d10df2ecb314c541cbd8a798abb69c,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126465,67905,2,497664,,c7a491bff220b2c734960ada808eecb261798007ef247a88e4b990e780a1ff5a
32,ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0.5,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,ecbdf92ac33efb947ef00eef44910b1b5064a5c3219ef6653054e9f1c129bb8f,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126465,55084,1,497664,,8ed12aa3490e6dbd145ab70290ef9175826821f7dc941cb5f275dbce7ddba73a
33,ae32__u4__q0.7__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0.7,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,81b0e4a959c827de4248771bffa97a9fb2f4a3952232b7db62d1365c285b1e44,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126465,39645,1,497664,,a3ef4b3fac3aa7e92bad0a44349f40e9867c902ff087f9aac6c83f3059bd2414
34,ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0.9,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,bb86ce09fcbdc6e3808e6d521ec01e65d80fa0ef8c60408c94ed43587e7d53a3,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126465,20597,1,497664,,854f5ae33bee6783d16c8d4b9be179fa9068114a06f9afc8d89a15b29eae68a2
35,ae32__u4__q0.98__zstd3__ckpt10cebbeede4d,ae32,per_channel_uint4,4,0.98,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,a63f33b4a2d4349ebfeeb76bdc1028998a3c700247d4e5b1c8688e432e0b0805,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,126467,10478,1,497664,,6e524c98a19a1a5f56c0dd4a1a4e50b2cb6f6b7885a69c97c21011a1568e1d99
36,ae64__u8__q0__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,c12607b844359b4b92579bf553f1ba8aee307eed8b9a2e3e723a207e287fa460,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292614,274283,5,580608,,48d219e90e9738c98dd80e91c9d6c3863b351dd00fc2be5dbc3201bec5376117
37,ae64__u8__q0.3__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0.3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,3f5f52a2e7c384eaff5d770d3405b594065fc56323bee0b0d3580fa4d1de53e6,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292618,204120,4,580608,,d2ecb1a7e1ac6ac9dcd5a8082729ce6515d9258ed46ec767b19d3a902b9f230d
38,ae64__u8__q0.5__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0.5,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,7eebdf60a0f875d6fdde6beacf2b4264575897a758937644fae511290888978e,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292618,164270,3,580608,,9955654e64df1afbb04504af7db14789b88b7e0fdad46354b5d7426afd19af13
39,ae64__u8__q0.7__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0.7,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,e788ae767f5c62b7d181408ba63758031850a3ac0e35ed57f92602193b908348,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292618,113598,2,580608,,ca55b039748c4c3c2791b2c2cd1a97456f0be7e1e3ec743e3bc6e683ee0ae922
40,ae64__u8__q0.9__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0.9,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,89fce624cdefaca2f7442ad90f8dd8990849dbfbe81e22b4a08147840dcd001f,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292618,49915,1,580608,,4b79a87e3cd22d7474f7d069ed5fc1ea146922545504e3d5a8aadda59102b048
41,ae64__u8__q0.98__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint8,8,0.98,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,c0f0b542d0be02372e4464e3aab72e3b93bd3844586421fe27b457bcdfe74221,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,292620,19100,1,580608,,cf451d0c5e11ca1167ff9e9536d17e934f9e796fe1b9a99cb55ed0f8aa9acce2
42,ae64__u6__q0__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint6,6,0,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,c714310407424e0cc06cee6d4eb4e2e9f19dc5a81f1c6ea644f20b5873ea2258,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,220029,209100,4,580608,,b6afddc0a035d83c55eb663a7d0e23cf00af56b09c72b97d32cc01afc5896657
43,ae64__u6__q0.3__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint6,6,0.3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,90a48f9aefca0902ee524a32202d4ae9179f5d62915e086f85178e2a02c36a45,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,220033,155152,3,580608,,a852f299a8b90c1b8f742066a67982b03dca41d20224708135580a7f7b92fb85
44,ae64__u6__q0.5__zstd3__ckptc6a2362c7c2d,ae64,per_channel_uint6,6,0.5,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,8636028d17515d5bc7dfad9bef5f6f1ff86a0a671bb1ede6d298c6424c962762,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_INTEGRATED_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,220033,126278,3,580608,,407661a00f88cd714afec411c2802307d3dce20de640b5b9c05657c5fb836a4f
