family,quant,sample_id,input_prediction_count,baseline_ms,selected_ms,paired_delta_ms
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002010_frame106214,8,0.0018265,0.007594,0.0057675
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002019_frame106232,7,0.001581,0.006748,0.005167
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002027_frame106248,6,0.0013815,0.004071,0.0026895
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002029_frame106252,6,0.0014645,0.004953,0.0034885
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002034_frame106262,7,0.001611,0.0045175,0.0029065
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002036_frame106266,7,0.001565,0.005894,0.0043289999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002041_frame106276,8,0.001851,0.004,0.002149
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002042_frame106278,8,0.0017925,0.003117,0.0013245
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002043_frame106280,6,0.00139,0.0027865,0.0013965
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002049_frame106292,7,0.001603,0.004399,0.002796
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002057_frame106308,7,0.001574,0.0061625,0.0045885
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002063_frame106320,1,0.0004075,0.0005965,0.00018900000000000004
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002072_frame106338,2,0.0006295,0.001268,0.0006385000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002073_frame106340,8,0.001836,0.005023,0.0031869999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002076_frame106346,1,0.000403,0.000587,0.00018399999999999997
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002078_frame106350,4,0.000993,0.001531,0.0005380000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002079_frame106352,0,0.0001825,0.000254,7.15e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002087_frame106368,0,0.0001795,0.000258,7.849999999999998e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002096_frame106386,0,0.0001835,0.000254,7.05e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002098_frame106390,0,0.0001835,0.0002615,7.800000000000003e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002100_frame106394,0,0.0001825,0.0002615,7.900000000000002e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002101_frame106396,0,0.0001795,0.000251,7.149999999999998e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002107_frame106408,0,0.0001775,0.000258,8.049999999999998e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002111_frame106416,0,0.0001745,0.0002485,7.400000000000001e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002134_frame106462,4,0.0010395,0.0029405,0.001901
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002140_frame106474,4,0.000993,0.0023695,0.0013765000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002156_frame106506,4,0.000975,0.002777,0.001802
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002157_frame106508,4,0.000988,0.002865,0.001877
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002206_frame106606,2,0.0006235,0.000729,0.00010550000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002224_frame106642,0,0.000189,0.000261,7.199999999999999e-05
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002250_frame106694,2,0.000634,0.0012945,0.0006605000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002252_frame106698,3,0.000826,0.0013995,0.0005734999999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002254_frame106702,3,0.0008505,0.002349,0.0014984999999999998
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002256_frame106706,2,0.000647,0.001291,0.000644
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002321_frame106836,3,0.000817,0.0018865,0.0010695
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002381_frame106956,9,0.0019935,0.006659,0.0046654999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002385_frame106964,7,0.001623,0.0050645,0.0034415
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002393_frame106980,8,0.0017895,0.007395,0.005605499999999999
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002394_frame106982,8,0.001829,0.0076965,0.0058675
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002408_frame107010,7,0.001549,0.0060035,0.0044545
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002415_frame107024,5,0.00124,0.003955,0.0027150000000000004
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002422_frame107038,3,0.000797,0.0013695,0.0005725000000000001
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002424_frame107042,6,0.001423,0.0044725,0.0030495
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002430_frame107054,5,0.00124,0.0039085,0.0026685
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002434_frame107062,5,0.0012035,0.003795,0.0025915
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002439_frame107072,5,0.0011875,0.00381,0.0026225
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002440_frame107074,4,0.000995,0.0025795,0.0015845000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002445_frame107084,5,0.001198,0.0038115,0.0026134999999999995
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002478_frame107150,4,0.0010185,0.002549,0.0015305
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002492_frame107178,5,0.001184,0.004151,0.002967
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002495_frame107184,4,0.0009635,0.0030325,0.002069
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002496_frame107186,7,0.00154,0.004476,0.0029360000000000002
noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002538_frame107270,4,0.0009745,0.0019985,0.0010239999999999997
