family,quant,class_name,category,temporal_status,empty_scene_fp,fp_count,fraction_of_class_fp
pooled,pooled,person,duplicate_same_class_claimed_gt,persistent,False,4536,0.5229421258934748
pooled,pooled,person,duplicate_same_class_claimed_gt,single_frame,False,3415,0.39370532626239335
pooled,pooled,person,no_plausible_nearby_gt,persistent,False,109,0.012566290062255014
pooled,pooled,person,no_plausible_nearby_gt,persistent,True,9,0.0010375835831219738
pooled,pooled,person,no_plausible_nearby_gt,single_frame,False,199,0.022942125893474753
pooled,pooled,person,no_plausible_nearby_gt,single_frame,True,148,0.0170624855891169
pooled,pooled,person,other_nearby_gt_geometry,persistent,False,6,0.0006917223887479825
pooled,pooled,person,other_nearby_gt_geometry,single_frame,False,43,0.004957343786027208
pooled,pooled,person,same_class_near_outside_match_radius,persistent,False,32,0.0036891860733225734
pooled,pooled,person,same_class_near_outside_match_radius,single_frame,False,147,0.01694719852432557
pooled,pooled,vehicle,cross_class_confusion,persistent,False,24,0.0009059680646257219
pooled,pooled,vehicle,cross_class_confusion,single_frame,False,72,0.0027179041938771658
pooled,pooled,vehicle,duplicate_same_class_claimed_gt,persistent,False,17644,0.6660375221773432
pooled,pooled,vehicle,duplicate_same_class_claimed_gt,single_frame,False,7809,0.2947793590275943
pooled,pooled,vehicle,no_plausible_nearby_gt,persistent,False,83,0.0031331395568306216
pooled,pooled,vehicle,no_plausible_nearby_gt,persistent,True,26,0.0009814654033445322
pooled,pooled,vehicle,no_plausible_nearby_gt,single_frame,False,269,0.010154392057679967
pooled,pooled,vehicle,no_plausible_nearby_gt,single_frame,True,84,0.003170888226190027
pooled,pooled,vehicle,other_nearby_gt_geometry,single_frame,False,33,0.0012457060888603677
pooled,pooled,vehicle,same_class_near_outside_match_radius,persistent,False,117,0.004416594315050395
pooled,pooled,vehicle,same_class_near_outside_match_radius,single_frame,False,330,0.012457060888603677
