block,family,valid,n,mu_mbps,effective_mu_mbps,demand,payload_bytes,onwire_bytes,allocation_envelope,allocation_efficiency,generated_demands,candidate_cell,allocation_aggregate_demand_mbps,allocation_aggregate_local_mbps,allocation_aggregate_central_mbps,allocation_worst_local_delivery_fraction,allocation_worst_central_delivery_fraction,allocation_central_throttles_any_below_local,local_goodput_mbps,central_goodput_mbps,local_worst_latency_p95_ms,central_worst_latency_p95_ms,local_worst_starvation_ms,central_worst_starvation_ms,deadline_lift_0.25_pp,deadline_lift_0.50_pp,latency_reduction_ms,starvation_reduction_ms,registered_meaningful_gap,pareto_safe
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,92160,92232,ideal_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.9483933110367895,3.2376825150501674,19938.465358916164,9421.409653589166,21440.96535891617,74750.0,0.0,0.0,10517.055705326999,-53309.034641083825,False,False
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,92160,92232,measured_residual_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.9483933110367895,3.2376825150501674,19938.465358916164,9421.409653589166,21440.96535891617,74750.0,0.0,0.0,10517.055705326999,-53309.034641083825,False,False
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,132301,132409,ideal_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.948823858341099,3.711894426840633,28644.667384516557,13514.296673845167,30829.667384516553,107300.00000000001,0.0,0.0,15130.37071067139,-76470.33261548346,False,False
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,132301,132409,measured_residual_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.948823858341099,3.711894426840633,28644.667384516557,13514.296673845167,30829.667384516553,107300.00000000001,0.0,0.0,15130.37071067139,-76470.33261548346,False,False
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,409600,409852,ideal_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.9497858756211413,3.5943051468152385,88665.89485517511,41909.5089485518,95450.89485517511,332050.0,0.0,0.0,46756.38590662331,-236599.1051448249,False,False
A,constant_ceiling,True,100,6.077408,6.077408,synchronized_burst,409600,409852,measured_residual_max_min,1.0,800,False,7.900630399999998,4.254185600000005,4.254185600000005,0.5384615384615383,0.5384615384615383,False,3.9497858756211413,3.5943051468152385,88665.89485517511,41909.5089485518,95450.89485517511,332050.0,0.0,0.0,46756.38590662331,-236599.1051448249,False,False
A,saturating,True,50,2.3149218312058797,2.3149218312058797,equal,92160,92232,ideal_max_min,1.0,400,False,2.5464140143264697,1.6204452818441175,1.6204452818441175,0.6363636363636362,0.6363636363636362,False,1.6318888639308855,1.478899282937365,12855.558805847413,14768.739056348892,22800.000000000146,105831.26094365111,0.0,0.0,-1913.1802505014784,-83031.26094365097,False,False
A,saturating,True,50,2.3149218312058797,2.3149218312058797,equal,92160,92232,measured_residual_max_min,1.0,400,False,2.5464140143264697,1.6204452818441175,1.6204452818441175,0.6363636363636362,0.6363636363636362,False,1.6318888639308855,1.478899282937365,12855.558805847413,14768.739056348892,22800.000000000146,105831.26094365111,0.0,0.0,-1913.1802505014784,-83031.26094365097,False,False
A,saturating,True,50,2.3149218312058797,2.3149218312058797,equal,132301,132409,ideal_max_min,1.0,400,False,2.5464140143264697,1.6204452818441175,1.6204452818441175,0.6363636363636362,0.6363636363636362,False,1.637983778580024,1.5168877015643802,18366.09694603365,21195.084349380908,32700.00000000016,72100.00000000001,0.0,0.0,-2828.987403347259,-39399.999999999854,False,False
A,saturating,True,50,2.3149218312058797,2.3149218312058797,equal,132301,132409,measured_residual_max_min,1.0,400,False,2.5464140143264697,1.6204452818441175,1.6204452818441175,0.6363636363636362,0.6363636363636362,False,1.637983778580024,1.5168877015643802,18366.09694603365,21195.084349380908,32700.00000000016,72100.00000000001,0.0,0.0,-2828.987403347259,-39399.999999999854,False,False
