wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787336309.424354,5.200203,52,0,25000,25000,0.100000,5.200000,0.113
1787336309.524366,5.300215,53,0,25000,25000,0.100000,5.300000,0.116
1787336309.624420,5.400269,54,0,25000,25000,0.100000,5.400000,0.122
1787336309.724356,5.500206,55,0,25000,25000,0.100000,5.500000,0.114
1787336309.824356,5.600205,56,0,25000,25000,0.100000,5.600000,0.113
1787336309.924375,5.700225,57,0,25000,25000,0.100000,5.700000,0.123
1787336310.024415,5.800264,58,0,25000,25000,0.100000,5.800000,0.124
1787336310.124420,5.900269,59,0,25000,25000,0.100000,5.900000,0.127
1787336310.224378,6.000227,60,0,25000,25000,0.100000,6.000000,0.124
1787336310.324372,6.100221,61,0,25000,25000,0.100000,6.100000,0.123
1787336310.424502,6.200352,62,0,25000,25000,0.100000,6.200000,0.135
1787336310.524360,6.300209,63,0,25000,25000,0.100000,6.300000,0.114
1787336310.624365,6.400214,64,0,25000,25000,0.100000,6.400000,0.121
1787336310.724355,6.500204,65,0,25000,25000,0.100000,6.500000,0.113
1787336310.824359,6.600209,66,0,25000,25000,0.100000,6.600000,0.115
1787336310.924379,6.700229,67,0,25000,25000,0.100000,6.700000,0.121
1787336311.024356,6.800206,68,0,25000,25000,0.100000,6.800000,0.114
1787336311.124378,6.900228,69,0,25000,25000,0.100000,6.900000,0.122
1787336311.224385,7.000235,70,0,25000,25000,0.100000,7.000000,0.122
1787336311.324391,7.100240,71,0,25000,25000,0.100000,7.100000,0.125
1787336311.424581,7.200430,72,0,25000,25000,0.100000,7.200000,0.151
1787336311.524389,7.300239,73,0,25000,25000,0.100000,7.300000,0.175
1787336311.624332,7.400182,74,0,25000,25000,0.100000,7.400000,0.114
1787336311.724326,7.500176,75,0,25000,25000,0.100000,7.500000,0.113
1787336311.824341,7.600190,76,0,25000,25000,0.100000,7.600000,0.116
1787336311.924421,7.700270,77,0,25000,25000,0.100000,7.700000,0.116
1787336312.024356,7.800205,78,0,25000,25000,0.100000,7.800000,0.122
1787336312.124358,7.900207,79,0,25000,25000,0.100000,7.900000,0.123
1787336312.224408,8.000257,80,0,25000,25000,0.100000,8.000000,0.122
1787336312.324542,8.100391,81,0,25000,25000,0.100000,8.100000,0.324
1787336312.424392,8.200241,82,0,25000,25000,0.100000,8.200000,0.121
1787336312.524422,8.300272,83,0,25000,25000,0.100000,8.300000,0.125
1787336312.624378,8.400227,84,0,25000,25000,0.100000,8.400000,0.122
1787336312.724425,8.500275,85,0,25000,25000,0.100000,8.500000,0.124
1787336312.824693,8.600543,86,0,25000,25000,0.100000,8.600000,0.341
1787336312.924633,8.700482,87,0,25000,25000,0.100000,8.700000,0.384
1787336313.024363,8.800212,88,0,25000,25000,0.100000,8.800000,0.116
1787336313.124381,8.900230,89,0,25000,25000,0.100000,8.900000,0.129
1787336313.224340,9.000189,90,0,25000,25000,0.100000,9.000000,0.116
1787336313.324339,9.100188,91,0,25000,25000,0.100000,9.100000,0.117
1787336313.424352,9.200202,92,0,25000,25000,0.100000,9.200000,0.116
1787336313.524355,9.300205,93,0,25000,25000,0.100000,9.300000,0.117
1787336313.624363,9.400213,94,0,25000,25000,0.100000,9.400000,0.116
1787336313.724344,9.500194,95,0,25000,25000,0.100000,9.500000,0.115
1787336313.824366,9.600215,96,0,25000,25000,0.100000,9.600000,0.119
1787336313.924369,9.700218,97,0,25000,25000,0.100000,9.700000,0.116
1787336314.024341,9.800191,98,0,25000,25000,0.100000,9.800000,0.116
1787336314.124345,9.900194,99,0,25000,25000,0.100000,9.900000,0.117
1787336314.224337,10.000186,100,0,25000,25000,0.100000,10.000000,0.115
1787336314.324337,10.100186,101,0,25000,25000,0.100000,10.100000,0.116
1787336314.424336,10.200185,102,0,25000,25000,0.100000,10.200000,0.115
1787336314.524339,10.300189,103,0,25000,25000,0.100000,10.300000,0.117
1787336314.624380,10.400229,104,0,25000,25000,0.100000,10.400000,0.118
1787336314.724465,10.500314,105,0,25000,25000,0.100000,10.500000,0.116
1787336314.824371,10.600220,106,0,25000,25000,0.100000,10.600000,0.116
1787336314.924358,10.700208,107,0,25000,25000,0.100000,10.700000,0.122
1787336315.024378,10.800227,108,0,25000,25000,0.100000,10.800000,0.113
1787336315.124361,10.900211,109,0,25000,25000,0.100000,10.900000,0.117
1787336315.224445,11.000295,110,0,25000,25000,0.100000,11.000000,0.127
1787336315.324371,11.100215,111,0,25000,25000,0.100000,11.100000,0.115
