plateau_index,commanded_noise_power_db,event_time_text,event_wall_ns_approx,rnti,frame,slot,instantaneous_pusch_snr_db,mcs,join_status
0,-10,11:25:11.524004,1787336711524004096,54415,174,7,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.582823,1787336711582822912,54415,181,17,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.586823,1787336711586822912,54415,182,7,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.590744,1787336711590744064,54415,182,17,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.594625,1787336711594625024,54415,183,7,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.598768,1787336711598767872,54415,183,17,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.599220,1787336711599219968,54415,183,18,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.599585,1787336711599585024,54415,183,19,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.602429,1787336711602428928,54415,184,7,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.603051,1787336711603051008,54415,184,8,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.603428,1787336711603427840,54415,184,9,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.606894,1787336711606894080,54415,184,18,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.607282,1787336711607281920,54415,184,19,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.610876,1787336711610876160,54415,185,8,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.611248,1787336711611248128,54415,185,9,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.681417,1787336711681416960,54415,194,7,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.685389,1787336711685389056,54415,194,17,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.689205,1787336711689204992,54415,195,7,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.693193,1787336711693192960,54415,195,17,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.697280,1787336711697280000,54415,196,7,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.697726,1787336711697725952,54415,196,8,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.698146,1787336711698146048,54415,196,9,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.701060,1787336711701060096,54415,196,17,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.701530,1787336711701529856,54415,196,18,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.702005,1787336711702004992,54415,196,19,19.5,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.705040,1787336711705039872,54415,197,7,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.705481,1787336711705480960,54415,197,8,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.708874,1787336711708873984,54415,197,17,19.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.709496,1787336711709496064,54415,197,18,20.0,27,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.779637,1787336711779636992,54415,206,17,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.783676,1787336711783675904,54415,207,7,20.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.787396,1787336711787395840,54415,207,17,19.0,26,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
