trace_index,plateau_index,value_transition_index,repeat_index,is_value_transition,commanded_noise_power_db,scheduled_monotonic_ns,scheduled_wall_time_ns,send_monotonic_ns,send_wall_time_ns,response_received_monotonic_ns,response_received_wall_time_ns,handler_bracket_ms,response_before_next_boundary,response_sha256,status,control_session_id,ran_epoch_id
41,1,1,11,False,-8,1551360254222930,1787336715190678232,1551360254297525,1787336715190753007,1551360254371808,1787336715190827033,0.074283,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
42,1,1,12,False,-8,1551360354222930,1787336715290678232,1551360354293374,1787336715290748875,1551360354567073,1787336715291022304,0.273699,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
43,1,1,13,False,-8,1551360454222930,1787336715390678232,1551360454291876,1787336715390747251,1551360454419939,1787336715390875161,0.128063,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
44,1,1,14,False,-8,1551360554222930,1787336715490678232,1551360554289009,1787336715490744197,1551360554437207,1787336715490892402,0.148198,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
45,1,1,15,False,-8,1551360654222930,1787336715590678232,1551360654287554,1787336715590742774,1551360654374544,1787336715590829732,0.08699,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
46,1,1,16,False,-8,1551360754222930,1787336715690678232,1551360754292533,1787336715690747751,1551360754374399,1787336715690829592,0.081866,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
47,1,1,17,False,-8,1551360854222930,1787336715790678232,1551360854294195,1787336715790749572,1551360854428231,1787336715790883430,0.134036,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
48,1,1,18,False,-8,1551360954222930,1787336715890678232,1551360954334899,1787336715890790114,1551360954466608,1787336715890921811,0.131709,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
49,1,1,19,False,-8,1551361054222930,1787336715990678232,1551361054292679,1787336715990747891,1551361054431369,1787336715990886603,0.13869,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
50,1,1,20,False,-8,1551361154222930,1787336716090678232,1551361154290859,1787336716090746101,1551361154480369,1787336716090935593,0.18951,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
51,1,1,21,False,-8,1551361254222930,1787336716190678232,1551361254247490,1787336716190702775,1551361254342120,1787336716190797300,0.09463,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
52,1,1,22,False,-8,1551361354222930,1787336716290678232,1551361354547414,1787336716291002622,1551361354676216,1787336716291131473,0.128802,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
53,1,1,23,False,-8,1551361454222930,1787336716390678232,1551361454295005,1787336716390750262,1551361454370427,1787336716390825661,0.075422,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
54,1,1,24,False,-8,1551361554222930,1787336716490678232,1551361554288545,1787336716490743759,1551361554363352,1787336716490818547,0.074807,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
55,1,1,25,False,-8,1551361654222930,1787336716590678232,1551361654298747,1787336716590754151,1551361654518433,1787336716590973767,0.219686,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
56,1,1,26,False,-8,1551361754222930,1787336716690678232,1551361754291423,1787336716690746679,1551361754402549,1787336716690857761,0.111126,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
57,1,1,27,False,-8,1551361854222930,1787336716790678232,1551361854293203,1787336716790748556,1551361854699547,1787336716791154762,0.406344,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
58,1,1,28,False,-8,1551361954222930,1787336716890678232,1551361954293176,1787336716890748378,1551361954363945,1787336716890819130,0.070769,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
59,1,1,29,False,-8,1551362054222930,1787336716990678232,1551362054296953,1787336716990752391,1551362054379289,1787336716990834522,0.082336,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
60,2,2,0,True,-5,1551362154222930,1787336717090678232,1551362154294575,1787336717090750062,1551362154389044,1787336717090844288,0.094469,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
61,2,2,1,False,-5,1551362254222930,1787336717190678232,1551362254315098,1787336717190770516,1551362254693164,1787336717191148466,0.378066,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
62,2,2,2,False,-5,1551362354222930,1787336717290678232,1551362354299184,1787336717290755050,1551362354606955,1787336717291062345,0.307771,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
63,2,2,3,False,-5,1551362454222930,1787336717390678232,1551362454295948,1787336717390751315,1551362454408888,1787336717390864203,0.11294,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
64,2,2,4,False,-5,1551362554222930,1787336717490678232,1551362554308576,1787336717490764210,1551362554430739,1787336717490886118,0.122163,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
65,2,2,5,False,-5,1551362654222930,1787336717590678232,1551362654303990,1787336717590759612,1551362654413725,1787336717590868986,0.109735,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
66,2,2,6,False,-5,1551362754222930,1787336717690678232,1551362754322292,1787336717690777734,1551362754722898,1787336717691178159,0.400606,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
67,2,2,7,False,-5,1551362854222930,1787336717790678232,1551362854293569,1787336717790748992,1551362854430032,1787336717790885328,0.136463,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
68,2,2,8,False,-5,1551362954222930,1787336717890678232,1551362954299678,1787336717890755537,1551362954431489,1787336717890886750,0.131811,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
69,2,2,9,False,-5,1551363054222930,1787336717990678232,1551363054291904,1787336717990747255,1551363055069882,1787336717991525177,0.777978,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
70,2,2,10,False,-5,1551363154222930,1787336718090678232,1551363154291686,1787336718090747092,1551363154463245,1787336718090918474,0.171559,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
71,2,2,11,False,-5,1551363254222930,1787336718190678232,1551363254290705,1787336718190745970,1551363254415923,1787336718190871183,0.125218,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
72,2,2,12,False,-5,1551363354222930,1787336718290678232,1551363354289541,1787336718290744741,1551363354363712,1787336718290818898,0.074171,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
73,2,2,13,False,-5,1551363454222930,1787336718390678232,1551363454294242,1787336718390749450,1551363454485463,1787336718390940648,0.191221,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
74,2,2,14,False,-5,1551363554222930,1787336718490678232,1551363554296376,1787336718490751679,1551363554699535,1787336718491154747,0.403159,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
75,2,2,15,False,-5,1551363654222930,1787336718590678232,1551363654288393,1787336718590743607,1551363654647074,1787336718591102302,0.358681,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
76,2,2,16,False,-5,1551363754222930,1787336718690678232,1551363754289484,1787336718690744739,1551363754358007,1787336718690813188,0.068523,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
77,2,2,17,False,-5,1551363854222930,1787336718790678232,1551363854287158,1787336718790742363,1551363854374617,1787336718790829835,0.087459,True,92e992dbeaeaffb345debe550fd336b3de98865767c393d66183660c6b6ebd05,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
