seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
291,2048,192.168.70.134,1787375514718911033,1590159782455362
292,2048,192.168.70.134,1787375514794123016,1590159857667001
293,2048,192.168.70.134,1787375514936406777,1590159999950747
294,2048,192.168.70.134,1787375515010554828,1590160074099032
295,2048,192.168.70.134,1787375515084885600,1590160148429758
296,2048,192.168.70.134,1787375515246544476,1590160310088441
297,2048,192.168.70.134,1787375515320909804,1590160384454016
298,2048,192.168.70.134,1787375515395761762,1590160459305901
299,2048,192.168.70.134,1787375515538459180,1590160602003411
300,2048,192.168.70.134,1787375515653732221,1590160717276263
301,2048,192.168.70.134,1787375515728517408,1590160792061299
302,2048,192.168.70.134,1787375515802927327,1590160866471655
303,2048,192.168.70.134,1787375515945956834,1590161009500830
304,2048,192.168.70.134,1787375516020324829,1590161083868869
305,2048,192.168.70.134,1787375516094757950,1590161158301992
306,2048,192.168.70.134,1787375516186378330,1590161249922319
307,2048,192.168.70.134,1787375516328949687,1590161392493789
308,2048,192.168.70.134,1787375516403527472,1590161467071235
309,2048,192.168.70.134,1787375516545465527,1590161609009509
310,2048,192.168.70.134,1787375516619624011,1590161683167915
311,2048,192.168.70.134,1787375516735006130,1590161798550062
312,2048,192.168.70.134,1787375516810008852,1590161873552725
313,2048,192.168.70.134,1787375516952265923,1590162015810014
314,2048,192.168.70.134,1787375517026754350,1590162090298937
315,2048,192.168.70.134,1787375517121906797,1590162185451103
316,2048,192.168.70.134,1787375517212847945,1590162276392068
317,2048,192.168.70.134,1787375517286547636,1590162350091949
318,2048,192.168.70.134,1787375517428780960,1590162492325165
319,2048,192.168.70.134,1787375517503732412,1590162567276535
320,2048,192.168.70.134,1787375517646824074,1590162710368485
321,2048,192.168.70.134,1787375517740793329,1590162804337557
322,2048,192.168.70.134,1787375517815878341,1590162879422695
323,2048,192.168.70.134,1787375517889949912,1590162953494417
324,2048,192.168.70.134,1787375518031690795,1590163095234756
325,2048,192.168.70.134,1787375518106351462,1590163169895902
326,2048,192.168.70.134,1787375518197424088,1590163260968321
