1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367989371365443,1582634434910442,20:06:29.370541,13,38,12,38,18,499,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989371369636,1582634434914581,20:06:29.370829,13,38,13,38,19,499,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989373473836,1582634437018850,20:06:29.373096,13,39,1,39,7,499,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989374776364,1582634438321668,20:06:29.373671,13,39,2,39,8,499,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989374789523,1582634438334475,20:06:29.373981,13,39,3,39,9,499,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989438824880,1582634502370279,20:06:29.437717,13,49,2,49,8,499,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367989463122917,1582634526668551,20:06:29.462979,13,53,1,53,7,500,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989467325565,1582634530870719,20:06:29.466251,13,53,11,53,17,500,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989469495367,1582634533040539,20:06:29.469360,13,54,1,54,7,500,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989470519727,1582634534064706,20:06:29.469753,13,54,2,54,8,500,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989470532852,1582634534077801,20:06:29.470047,13,54,3,54,9,500,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989473881937,1582634537427005,20:06:29.472705,13,54,11,54,17,500,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989473895043,1582634537440009,20:06:29.473174,13,54,12,54,18,500,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989473907730,1582634537452645,20:06:29.473789,13,54,13,54,19,500,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
