wall_time_iso,elapsed_s,run_id,run_group,stream_id,transport_label,role,frame_id,carla_timestamp,result_received,front_ms,back_ms,round_trip_ms,transport_round_trip_ms_estimate,total_pipeline_ms_estimate,feature_payload_bytes,feature_payload_bytes_uncompressed,feature_payload_chunks,result_payload_bytes_estimate,result_payload_chunks_estimate,mask_present,segmentation_class_count,gt_camera_available,miou_binary,miou_3class_macro,miou_vehicle_iou,miou_person_iou,gt_vehicle_pixels,gt_person_pixels,object_count,radar_projected_points,spatial_map_enabled,spatial_map_dropped_packets,bind_host,remote_host,camera_source_port,remote_port,remote_source_port,camera_result_port,camera_width,camera_height,model_input_width,model_input_height,quantization_mode,entropy_coder
2026-07-16T00:07:51.772,7.79751900001429,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812827,97912.05550165044,True,44.295017956756055,6.061476073227823,41.23353399336338,35.17205792013556,85.52855195011944,1130267,2903040,19,2895,1,True,3,0,nan,nan,nan,nan,0,0,1,413,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.858,7.883514825021848,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812828,97912.15550165193,True,44.26189500372857,5.659446003846824,38.378789904527366,32.71934390068054,82.64068490825593,1134801,2903040,19,2345,1,True,2,0,nan,nan,nan,nan,0,0,0,419,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.951,7.976834108005278,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812829,97912.25550165342,True,46.15329694934189,6.782384007237852,40.60984496027231,33.82746095303446,86.7631419096142,1137105,2903040,19,2327,1,True,2,0,nan,nan,nan,nan,0,0,0,417,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.049,8.07428753504064,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812830,97912.3555016549,True,51.22493498492986,6.62425602786243,40.44444195460528,33.82018592674285,91.66937693953514,1131185,2903040,19,2352,1,True,2,0,nan,nan,nan,nan,0,0,0,428,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.139,8.16473823308479,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812831,97912.4555016564,True,45.17671698704362,6.452091038227081,43.70198003016412,37.24988899193704,88.87869701720774,1134598,2903040,19,2351,1,True,2,0,nan,nan,nan,nan,0,0,0,408,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.226,8.252178977010772,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812832,97912.55550165789,True,45.31405703164637,5.738631938584149,38.54911797679961,32.81048603821546,83.86317500844598,1137384,2903040,19,2410,1,True,2,0,nan,nan,nan,nan,0,0,0,398,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.317,8.34267689299304,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812833,97912.65550165938,True,44.368372997269034,5.716127110645175,38.76292100176215,33.04679389111698,83.13129399903119,1137561,2903040,19,2374,1,True,3,0,nan,nan,nan,nan,0,0,0,416,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.419,8.444947760086507,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812834,97912.75550166087,True,50.39831798058003,5.781423998996615,38.43711200170219,32.655688002705574,88.83542998228222,1136978,2903040,19,2418,1,True,2,0,nan,nan,nan,nan,0,0,0,421,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.508,8.53321228607092,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812835,97912.85550166236,True,42.47352306265384,5.812784074805677,39.64375704526901,33.830972970463336,82.11728010792285,1134536,2903040,19,2404,1,True,3,0,nan,nan,nan,nan,0,0,0,415,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.599,8.62425053305924,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812836,97912.95550166385,True,44.53394690062851,6.494774017482996,39.60201807785779,33.107244060374796,84.1359649784863,1134645,2903040,19,2405,1,True,2,0,nan,nan,nan,nan,0,0,0,409,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.688,8.714043348096311,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812837,97913.05550166534,True,45.89144408237189,6.903717992827296,40.10630201082677,33.20258401799947,85.99774609319866,1127870,2903040,19,3006,1,True,3,0,nan,nan,nan,nan,0,0,1,403,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.780,8.8057810140308,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812838,97913.15550166683,True,46.395001001656055,5.792020005173981,38.70300599373877,32.91098598856479,85.09800699539483,1134042,2903040,19,2409,1,True,2,0,nan,nan,nan,nan,0,0,0,419,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.881,8.907053395989351,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812839,97913.25550166832,True,49.1939130006358,5.818207049742341,41.369774960912764,35.55156791117042,90.56368796154857,1136625,2903040,19,2450,1,True,2,0,nan,nan,nan,nan,0,0,0,405,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:52.982,9.007226143032312,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812840,97913.35550166981,True,45.5670669907704,14.412272023037076,49.10651594400406,34.69424392096698,94.67358293477446,1135314,2903040,19,2402,1,True,3,0,nan,nan,nan,nan,0,0,0,410,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:53.072,9.097548434045166,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812841,97913.4555016713,True,46.559188049286604,5.725191091187298,38.38170599192381,32.65651490073651,84.94089404121041,1135738,2903040,19,2418,1,True,3,0,nan,nan,nan,nan,0,0,0,419,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
