episode_id,step_index,timestamp_s,action_id,mode,profile_id,target_fps,channel_rung_true,channel_rung_observed,true_capacity_mbps,estimated_capacity_mbps,offered_mbps,captured,actual_delivery,actual_latency_ms,c1_estimate_miss,pending_count,scheduler_credit,true_expected_g_m,true_risk_p95_m,true_expected_reward,true_safe,payload_provenance,rate_provenance,truth_object_count,observed_object_count,controller,controller_training,controller_feedback_source,controller_feedback_reward,selection_changed_from_greedy,shield_feasible,shield_over_budget,shield_ood,degraded_tier_used,shield_bound_m,shield_expected_g_m,shield_risk_sigma_m,shield_expected_task_utility,shield_prb_cost,shield_expected_reward,matched_true_expected_reward,selected_true_safe,matched_true_risk_p95_m,selected_matched_true_safe,matched_true_unobserved_sentinel,selected_raw_safe,selected_admitted_split,raw_safe_action_count,candidate_action_count,raw_safe_action_ids,candidate_action_ids,false_admit_selected,false_admit_selected_matched,true_feasible_frame,matched_true_feasible_frame,false_reject_frame,false_reject_frame_matched,clairvoyant_best_action_id,clairvoyant_best_mode,shield_skip_clairvoyant_split,clairvoyant_best_reward,selected_in_true_candidate_set,oracle_reward_gap_safe_only,oracle_action_set_mismatch,unobserved_gt_object_count,bandit_score,bandit_mean,bandit_bonus,bandit_action_updates,scenario,scenario_family,replay_split
pcvv2_dense_tr01,20,1.0,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.26964662228497,0.0,False,,,False,0,0.0,3.467887097028911,3.467887097028911,0.8282661615652374,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8282661615652374,False,False,True,False,False,7.579902869782717,7.010866691849555,0.0,0.9149633389909602,0.0,0.7396916716947213,0.8282661615652374,False,3.467887097028911,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8282661615652374,True,0.0,False,0,1.0965168415846112,0.857342444152904,0.2391743974308045,15,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,21,1.05,SKIP,SKIP,,0,mid,mid,17.292218971275084,16.175578245047486,0.0,False,,,False,0,0.0,3.879653020590788,3.879653020590788,0.8179720134761904,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8179720134761904,False,False,True,False,False,9.143337007608228,8.53135330489433,0.0,0.9149633389909602,0.0,0.7016795063686019,0.8179720134761904,False,3.879653020590788,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8179720134761904,True,0.0,False,0,1.1076728810575922,0.862028987402065,0.24564389365462425,16,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,22,1.1,SKIP,SKIP,,0,mid,mid,17.292218971275084,16.3136650154108,0.0,False,,,False,0,0.0,4.3208269547352325,4.3208269547352325,0.8069426651225793,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8069426651225793,False,False,True,False,False,10.84908945374458,10.194764735785082,0.0,0.9149633389909602,0.0,0.6600942205963332,0.8069426651225793,False,4.3208269547352325,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8069426651225793,True,0.0,False,0,1.1230267125615558,0.8684760627502766,0.2545506498103765,17,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,23,1.1500000000000001,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.556300062126173,0.0,False,,,False,0,0.0,4.808919350667932,4.808919350667932,0.7947403552242618,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7988894081410453,False,False,True,False,False,5.062320900356239,4.38289081275226,0.0,0.9149633389909602,0.0,0.8053910686721537,0.7988894081410453,False,4.642957233996597,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7947403552242618,True,0.0,False,1,1.0855366632742116,0.8083758653569662,0.2771607979163426,18,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,24,1.2000000000000002,SKIP,SKIP,,0,strong,mid,11.556677391753905,18.686772675560892,0.0,False,,,False,0,0.0,5.327718364850308,5.327718364850308,0.7817703798697024,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7866019169837645,False,False,True,False,False,4.123442845227026,3.4163346568562027,0.0,0.9149633389909602,0.0,0.8295549725695551,0.7866019169837645,False,5.134456880287827,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7817703798697024,True,0.0,False,1,1.0925877551742977,0.8022636253490489,0.2903241298243461,19,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,25,1.25,SKIP,SKIP,,0,strong,mid,11.556677391753905,17.188613117048426,0.0,False,,,False,0,0.0,5.891186648502687,5.891186648502687,0.767683672778393,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.772808866521056,False,False,True,False,False,4.3363290619752695,3.586568689360553,0.0,0.9149633389909602,0.0,0.8252991217569463,0.772808866521056,False,5.686178898796169,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.767683672778393,True,0.0,False,1,1.0732122961988033,0.7962355057896674,0.2769767904082331,20,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,26,1.3,SKIP,SKIP,,0,strong,strong,11.556677391753905,12.314767216761938,0.0,False,,,False,0,0.0,6.486259139366891,6.486259139366891,0.7528068605067879,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7582233356874244,False,False,True,False,False,4.549952967244214,3.7576655117323274,0.0,0.9149633389909602,0.0,0.8210217011976519,0.7582233356874244,False,6.269600132141432,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7528068605067879,True,0.0,False,1,1.0516242431282006,0.7783225289768284,0.27330171415046944,21,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,27,1.35,SKIP,SKIP,,0,strong,strong,11.556677391753905,11.369284405135886,0.0,False,,,False,0,0.0,7.021137687839397,7.021137687839397,0.7394348967949752,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7423823835972228,False,False,True,False,False,7.7536985050904175,6.900076629540117,0.0,0.9149633389909602,0.0,0.7424614232524572,0.7423823835972228,False,6.9032382157494965,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7394348967949752,True,0.0,False,1,1.0463735121595361,0.7933580113188944,0.253015500839739,22,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,28,1.4000000000000001,SKIP,SKIP,,0,strong,strong,11.556677391753905,12.05203291385303,0.0,False,,,False,0,0.0,7.578052538495537,7.578052538495537,0.7255120255285717,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7257150321825993,False,False,True,False,False,11.279534693525921,10.37955811372428,0.0,0.9149633389909602,0.0,0.6554743861478531,0.7257150321825993,False,7.5699322723344356,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7255120255285717,True,0.0,False,1,1.0659374954775926,0.8104859008409327,0.25545159463575695,23,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,29,1.4500000000000002,SKIP,SKIP,,0,strong,strong,11.556677391753905,11.535035165667567,0.0,False,,,False,0,0.0,8.284988610911176,8.284988610911176,0.7078386237181807,False,none,none,2,1,linucb,True,matched_true_expected_reward,0.7078386237181807,False,False,True,False,False,11.78738398971796,10.846077946563412,0.0,0.9149633389909602,0.0,0.6438113903268748,0.7078386237181807,False,8.284988610911176,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.7078386237181807,True,0.0,False,1,1.0537735736767844,0.7998392621243544,0.25393431155152707,24,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
