split,family,quantizer,q,q_support,unique_frames,profile_frames,payload_bytes_median,payload_bytes_p90,payload_bytes_p95,payload_bytes_max,tp_vehicle,fp_vehicle,fn_vehicle,tp_person,fp_person,fn_person,prediction_count,payload_bytes_mean,veh_precision,veh_recall,veh_f1,ped_precision,ped_recall,ped_f1,fp_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_person_m,miou,iou_background,iou_vehicle,iou_person
audit_validation,ae64,uint4,0.5,in_distribution,838,838,62225.0,66831.1,68437.25,72465,905,916,61,423,260,67,2504,62789.57875894988,0.49697968149368477,0.9368530020703933,0.6494438464298529,0.6193265007320644,0.863265306122449,0.7212276214833759,1.4033412887828163,0.9027738248957894,1.2149867777546688,0.8167840937245529,1.0867471268106097,0.7066334940951325,0.9763292124657789,0.5928141289529617,0.5507571408666574
audit_validation,ae64,uint4,0.7,in_distribution,838,838,45225.0,49689.9,51173.35,55691,903,917,63,424,257,66,2501,45714.94988066826,0.49615384615384617,0.9347826086956522,0.6482412060301507,0.6226138032305433,0.8653061224489796,0.7241673783091374,1.4009546539379476,0.8979087135707703,1.2033891729394415,0.8110955067164103,1.0827962743950323,0.6561704133162233,0.9620363848621964,0.464648076682561,0.5418267784039124
audit_validation,ae64,uint4,0.9,measured_extrapolation,838,838,23476.0,26485.9,27828.15,32961,903,913,63,415,266,75,2497,23813.643198090693,0.4972466960352423,0.9347826086956522,0.6491732566498922,0.6093979441997063,0.8469387755102041,0.7087959009393681,1.4069212410501193,0.9185507505573955,1.225937926329382,0.826745363005699,1.1183104251578342,0.5213311722637254,0.8747328544009577,0.17592586529528784,0.5133347970949306
audit_validation,ae64,uint4,0.98,measured_extrapolation,838,838,9874.0,11404.000000000002,11883.6,13208,896,980,70,416,265,74,2557,9969.103818615751,0.47761194029850745,0.927536231884058,0.6305418719211823,0.6108663729809104,0.8489795918367347,0.7105038428693425,1.4856801909307875,1.0370678146541132,1.360051043535065,0.9825828144189833,1.154420122852855,0.47612546654865645,0.8673172555414423,0.10426410793877812,0.4567950361657488
audit_validation,ae64,uint6,0.0,in_distribution,838,838,208285.5,208953.6,209178.15,209906,908,929,58,422,251,68,2510,208019.5954653938,0.49428415895481764,0.9399585921325052,0.647877274348912,0.6270430906389302,0.8612244897959184,0.7257093723129836,1.4081145584725536,0.8484490753206073,1.135044400288904,0.7629919236603068,1.032323704959358,0.8257620654115664,0.9967474700018832,0.9253618512264488,0.5551768750063669
audit_validation,ae64,uint6,0.3,in_distribution,838,838,151902.5,155940.5,157335.3,164923,909,919,57,418,253,72,2499,152189.8878281623,0.4972647702407002,0.9409937888198758,0.6506800286327845,0.6229508196721312,0.8530612244897959,0.7200689061154177,1.3985680190930787,0.8496159223136704,1.1409964424348373,0.7677245245049812,1.0277003256823265,0.7909665236139478,0.9922542193413445,0.8247976433586793,0.5558477081418194
audit_validation,ae64,uint6,0.5,in_distribution,838,838,120130.5,125842.9,127618.4,135076,902,925,64,422,269,68,2518,120752.72195704057,0.49370552818828684,0.9337474120082816,0.6459004654493377,0.6107091172214182,0.8612244897959184,0.7146486028789162,1.4248210023866348,0.8723546810333896,1.1667981624577204,0.7843169844871268,1.0605300418976762,0.7799417243558464,0.9910249832583032,0.7969151998750678,0.5518849899341682
audit_validation,ae64,uint6,0.7,in_distribution,838,838,82440.5,88407.0,90428.05,95966,901,937,65,422,267,68,2527,83047.00596658711,0.49020674646354734,0.932712215320911,0.6426533523537803,0.6124818577648766,0.8612244897959184,0.7158608990670059,1.4367541766109786,0.8767094360551199,1.1746522092113716,0.7898359803572901,1.06219043980807,0.7525745247256453,0.987376382420512,0.7262523404676227,0.5440948512888015
audit_validation,ae64,uint6,0.9,measured_extrapolation,838,838,38387.5,42824.3,44240.7,51737,905,926,61,416,265,74,2512,38783.52386634845,0.4942654287274713,0.9368530020703933,0.6471219163389346,0.6108663729809104,0.8489795918367347,0.7105038428693425,1.4212410501193318,0.9070630554985427,1.1968623873545263,0.826937577026977,1.0813744930388478,0.676940352865822,0.9750999281898589,0.5237106498836246,0.5320104805239827
audit_validation,ae64,uint6,0.98,measured_extrapolation,838,838,13902.0,16148.2,16930.05,19872,890,973,76,420,263,70,2546,14101.811455847255,0.4777241009125067,0.9213250517598344,0.6291975963237892,0.6149341142020498,0.8571428571428571,0.7161125319693095,1.4749403341288783,1.0218462721776866,1.3386045370632467,0.9573191157448067,1.1585823893806941,0.6023954076771196,0.9729195816744665,0.3500297782477387,0.4842368631091538
audit_validation,ae64,uint8,0.0,in_distribution,838,838,273355.0,279219.4,279974.9,281927,909,929,57,421,258,69,2517,274176.66825775657,0.49455930359085964,0.9409937888198758,0.6483594864479315,0.6200294550810015,0.8591836734693877,0.7202737382378102,1.4164677804295942,0.8487074329416033,1.1401194338647316,0.7682131143669966,1.0225063298164667,0.8257915703227864,0.9967486139063407,0.9253774282461382,0.55524866881588
audit_validation,ae64,uint8,0.3,in_distribution,838,838,199904.0,205352.7,206897.25,215294,909,928,57,420,254,70,2511,200538.79474940334,0.49482852476864453,0.9409937888198758,0.6485907955761684,0.6231454005934718,0.8571428571428571,0.7216494845360824,1.4105011933174225,0.8489863703328354,1.140050589495911,0.7685062244526126,1.023168400345032,0.8022788020824807,0.9939686389375579,0.8571996143575803,0.5556681529523038
audit_validation,ae64,uint8,0.5,in_distribution,838,838,157166.0,163492.9,165207.6,173969,901,925,65,422,265,68,2513,157616.29594272075,0.49342825848849947,0.932712215320911,0.6454154727793696,0.6142649199417758,0.8612244897959184,0.7170773152081564,1.4200477326968974,0.8708964647472279,1.1644848775986907,0.7889726923753171,1.045809542726118,0.7897384984435365,0.9926307964394953,0.8247020232474509,0.5518826756436631
audit_validation,ae64,uint8,0.7,in_distribution,838,838,105936.0,112372.5,114581.45,121224,902,931,64,421,266,69,2520,106524.723150358,0.4920894708128751,0.9337474120082816,0.6445158985351912,0.6128093158660844,0.8591836734693877,0.7153780798640612,1.428400954653938,0.8743533444785797,1.1700206863171,0.7935566930157439,1.0474616096079807,0.7749964947793998,0.991211272663422,0.7886415762464827,0.5451366354282945
audit_validation,ae64,uint8,0.9,measured_extrapolation,838,838,47525.0,52353.7,54090.6,61824,905,927,61,414,265,76,2511,47892.43436754177,0.49399563318777295,0.9368530020703933,0.646890636168692,0.6097201767304861,0.8448979591836735,0.7082976903336187,1.422434367541766,0.9072135905936858,1.2079239558804558,0.8248490248274511,1.0872617355657688,0.7161425121847479,0.9850449312170629,0.631603310182517,0.5317792951546635
audit_validation,ae64,uint8,0.98,measured_extrapolation,838,838,16041.5,18385.700000000004,19162.2,21772,892,968,74,418,264,72,2542,16268.163484486873,0.47956989247311826,0.9233954451345756,0.6312809624911536,0.6129032258064516,0.8530612244897959,0.7133105802047782,1.470167064439141,1.0230703608830478,1.3377135451177862,0.9611847810914178,1.155132411538871,0.602727220120932,0.9742340843153767,0.350014765702202,0.48393281034521735
audit_validation,noae,uint4,0.0,in_distribution,838,838,401234.0,413923.0,417371.9,427214,886,833,80,413,254,77,2386,401564.7052505967,0.5154159394997091,0.917184265010352,0.6599627560521414,0.6191904047976012,0.8428571428571429,0.7139152981849611,1.2971360381861574,1.0227058460266203,1.3330762358164983,0.9299808652754719,1.221626749042402,0.8397455741365333,0.9972977319177132,0.9381216551402273,0.5838173353516598
audit_validation,noae,uint4,0.3,in_distribution,838,838,295579.5,310012.7,316052.6,332295,889,833,77,415,246,75,2383,296214.22553699283,0.516260162601626,0.9202898550724637,0.6614583333333334,0.6278366111951589,0.8469387755102041,0.7211120764552563,1.2875894988066825,1.0096124397589623,1.3163949977570137,0.9104726933612741,1.2219864989096725,0.7180205203103777,0.9747618258992236,0.5950122093741907,0.5842875256577189
audit_validation,noae,uint4,0.5,in_distribution,838,838,243678.5,260459.2,264947.25,286023,880,846,86,398,254,92,2378,245136.36873508352,0.5098493626882966,0.9109730848861284,0.6537890044576523,0.6104294478527608,0.8122448979591836,0.6970227670753064,1.3126491646778042,1.0823866938131683,1.4032975204568032,1.0063408310139408,1.2505283000024154,0.6123630687401017,0.9358269793082253,0.36617383008778004,0.5350883968242999
audit_validation,noae,uint4,0.7,in_distribution,838,838,189112.0,199244.5,202678.45,212397,877,851,89,401,252,89,2381,189224.09188544154,0.5075231481481481,0.9078674948240165,0.6510764662212323,0.6140888208269525,0.8183673469387756,0.7016622922134733,1.3162291169451075,1.093788092744352,1.4164089819029648,1.008019092779415,1.2813676762088149,0.5743319559846843,0.9119076795409204,0.2925749810824189,0.5185132073307138
audit_validation,noae,uint4,0.9,measured_extrapolation,838,838,100826.0,108110.0,109660.35,119291,876,927,90,406,265,84,2474,101006.99164677804,0.4858569051580699,0.906832298136646,0.6327193932827735,0.6050670640834576,0.8285714285714286,0.6993970714900948,1.422434367541766,1.1335016748003846,1.461865458355468,1.064612127969319,1.2821402044161814,0.5545660263362204,0.9174713399178375,0.27591026238395217,0.47031647670687177
audit_validation,noae,uint4,0.98,measured_extrapolation,838,838,44361.0,47558.6,48595.35,51649,838,810,128,396,266,94,2310,44174.73269689737,0.508495145631068,0.8674948240165632,0.6411629686304514,0.5981873111782477,0.8081632653061225,0.6875,1.2840095465393795,1.3379155401394334,1.6782120144090606,1.2618719967904446,1.498835967731485,0.493513520421981,0.9633700376000724,0.16320014452878653,0.35397037913708396
audit_validation,noae,uint6,0.0,in_distribution,838,838,805399.0,818576.7,821823.3,830067,888,805,78,415,252,75,2360,803786.1241050119,0.5245126993502658,0.9192546583850931,0.6679202707784881,0.6221889055472264,0.8469387755102041,0.7173725151253242,1.2613365155131264,0.9285858104218548,1.2392854121523156,0.8636305284011314,1.067574462071017,0.8404970717371797,0.997329701656269,0.9389203574648249,0.5852411560904449
