scope,fixed_factor,fixed_value,compared_factor,item_a,item_b,metric,q0,q1,delta_at_q0,delta_at_q1,interval_role
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_precision,0.9,0.98,-0.0019667389732465623,0.0005641900460237048,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_recall,0.0,0.3,-0.003994673768308976,0.0006657789613848664,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_recall,0.7,0.9,0.0013315579227696217,-0.0006657789613848664,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_recall,0.9,0.98,-0.0006657789613848664,0.001997336884154377,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint6,uint4,ped_recall,0.3,0.5,0.004250797024442088,-0.0010626992561105775,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,ped_recall,0.5,0.7,-0.0010626992561105775,0.002125398512221044,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,ped_recall,0.9,0.98,0.0010626992561105775,-0.0010626992561105775,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint6,uint4,fp_per_frame,0.0,0.3,0.010574018126888074,-0.0022658610271903967,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,fp_per_frame,0.3,0.5,-0.0022658610271903967,0.03398791540785506,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,veh_precision,0.3,0.5,-0.001477104874446078,0.00019594763612107435,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,veh_precision,0.9,0.98,0.0008848362798281606,-0.0014613835224811522,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint6,veh_recall,0.5,0.7,-0.0013315579227697327,0.0006657789613848664,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,veh_recall,0.7,0.9,0.0006657789613848664,-0.0006657789613847553,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_precision,0.3,0.5,-0.0028155567164448447,0.001056534471158166,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_precision,0.5,0.7,0.001056534471158166,-0.0010563726489413172,in_distribution
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_precision,0.7,0.9,-0.0010563726489413172,0.0,extrapolation_reference
within_family_quantizer,family,ae64,quantizer,uint8,uint6,ped_precision,0.9,0.98,0.0,0.001123079581253461,extrapolation_reference
