split,family,quantizer,q0,q1,interval_role,paired_frames,nonincreasing_or_tied_fraction,strict_increase_count,mean_delta_bytes,median_delta_bytes,max_increase_bytes
audit_validation,noae,uint4,0.7,0.9,extrapolation_reference,838,1.0,0,-88217.10023866348,-88113.0,0
audit_validation,noae,uint4,0.9,0.98,extrapolation_reference,838,1.0,0,-56832.25894988067,-56941.5,0
audit_validation,noae,uint6,0.0,0.3,in_distribution,838,1.0,0,-224351.6861575179,-225059.0,0
audit_validation,noae,uint6,0.3,0.5,in_distribution,838,1.0,0,-116576.30190930788,-116728.5,0
audit_validation,noae,uint6,0.5,0.7,in_distribution,838,1.0,0,-132850.12171837708,-133012.0,0
audit_validation,noae,uint6,0.7,0.9,extrapolation_reference,838,1.0,0,-170132.90572792361,-170126.0,0
audit_validation,noae,uint6,0.9,0.98,extrapolation_reference,838,1.0,0,-97763.54892601432,-97301.5,0
audit_validation,noae,uint8,0.0,0.3,in_distribution,838,1.0,0,-297496.2971360382,-298174.0,0
audit_validation,noae,uint8,0.3,0.5,in_distribution,838,1.0,0,-165793.77923627684,-166245.5,0
audit_validation,noae,uint8,0.5,0.7,in_distribution,838,1.0,0,-191381.11336515512,-191531.0,0
audit_validation,noae,uint8,0.7,0.9,extrapolation_reference,838,1.0,0,-229145.2863961814,-228763.0,0
audit_validation,noae,uint8,0.9,0.98,extrapolation_reference,838,1.0,0,-124510.02863961813,-124139.0,0
