run_label,run_group,window_s,elapsed_s,rows,old_mcs_p50,new_mcs_p50,new_mcs_p95,updated_rows,num_sched_p50,num_sched_p95,bler_after_p50,increase_rows,few_sample_rows,high_bler_rows,hold_rows
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,65,65.689807,1011,4.0,4.0,8.0,53,1.0,60.0,0.0,17,36,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,66,66.731411,563,4.0,4.0,8.0,55,1.0,60.0,0.0,10,45,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,67,67.572994,543,4.0,4.0,8.0,55,1.0,60.0,0.0,9,46,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,68,68.4091495,556,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,69,69.25515299999999,555,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,70,70.358012,1026,4.0,4.0,8.0,47,1.0,60.0,0.0,17,30,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,71,71.735844,543,4.0,4.0,8.0,54,1.0,60.0,0.0,10,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,72,72.5751745,552,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,73,73.409301,558,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,74,74.257069,538,4.0,4.0,8.0,47,1.0,60.0,0.0,9,38,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,75,75.822731,1012,4.0,4.0,8.0,49,1.0,60.0,0.0,17,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,76,76.730082,522,4.0,4.0,8.0,52,1.0,60.0,0.0,10,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,77,77.576698,547,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,78,78.4155245,526,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,79,79.2513605,518,4.0,4.0,8.0,50,1.0,60.0,0.0,10,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,80,80.77456699999999,996,4.0,4.0,8.0,49,1.0,60.0,0.0,16,33,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,81,81.733215,555,4.0,4.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,82,82.57757,537,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,83,83.407267,519,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,84,84.247822,551,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,85,85.537986,1025,4.0,4.0,8.0,53,1.0,60.0,0.0,17,36,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,86,86.742246,558,4.0,4.0,8.0,49,1.0,60.0,0.0,10,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,87,87.581354,559,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,88,88.4140765,558,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,89,89.25748899999999,546,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,90,90.554946,1023,4.0,4.0,8.0,52,1.0,60.0,0.0,17,35,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,91,91.73350049999999,554,4.0,4.0,8.0,54,1.0,60.0,0.0,10,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,92,92.573668,520,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,93,93.410665,532,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
