1787366053980385175,1580699043930280,connecting to 127.0.0.1:2031
1787366053980432530,1580699043977531,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787366053980434786,1580699043979748,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787366056174233037,1580701237778052,19:34:16.173617,54060,150,7,500,61,0,2178,0,106,28,860
1787366056174239679,1580701237784668,19:34:16.173876,54060,150,8,505,61,1,10247,0,106,28,860
1787366056174242422,1580701237787408,19:34:16.174158,54060,150,9,505,61,1,8197,0,85,28,860
1787366056238449482,1580701301994638,19:34:16.237734,54060,160,8,505,61,0,437,0,5,28,860
1787366056247893351,1580701311438957,19:34:16.247008,54060,161,17,510,48,0,106,0,5,28,890
1787366056251201549,1580701314747103,19:34:16.250243,54060,162,7,510,48,0,106,0,5,28,860
1787366056254376926,1580701317922562,19:34:16.253583,54060,162,17,500,48,0,2178,0,106,28,860
1787366056254397141,1580701317942228,19:34:16.254150,54060,162,18,505,61,0,10247,0,106,28,860
1787366056255414119,1580701318959178,19:34:16.254496,54060,162,19,505,61,0,8197,0,85,28,860
1787366056257655272,1580701321200391,19:34:16.256830,54060,163,7,500,61,0,2178,0,106,28,860
1787366056257660486,1580701321205516,19:34:16.257278,54060,163,8,505,61,1,10247,0,106,28,860
1787366056258577899,1580701322122916,19:34:16.257598,54060,163,9,505,61,1,8197,0,85,28,860
1787366056323059470,1580701386605258,19:34:16.321875,54060,173,8,505,61,0,480,0,5,28,860
1787366056347351910,1580701410897528,19:34:16.346994,54060,177,7,505,48,0,106,0,5,28,860
1787366056350459622,1580701414004860,19:34:16.349815,54060,177,17,505,48,0,106,0,5,28,860
1787366056355068736,1580701418614060,19:34:16.353687,54060,178,7,500,48,0,2178,0,106,28,860
1787366056355078535,1580701418623497,19:34:16.354420,54060,178,8,505,61,0,10247,0,106,28,860
1787366056355844839,1580701419390089,19:34:16.354800,54060,178,9,505,61,0,8197,0,85,28,860
1787366056356927322,1580701420472463,19:34:16.356340,54060,178,17,500,61,0,2178,0,106,28,860
1787366056358157867,1580701421703022,19:34:16.357091,54060,178,18,505,61,1,10247,0,106,28,860
1787366056358163508,1580701421708500,19:34:16.357333,54060,178,19,505,61,1,8197,0,85,28,860
1787366056418533839,1580701482079058,19:34:16.418429,54060,188,8,505,61,0,480,0,5,28,860
1787366056448199313,1580701511744438,19:34:16.447082,54060,192,17,505,48,0,106,0,5,28,860
