time,rnti,frame,slot,snrx10,tpc,rssi
20:44:48.985303,49395,1017,17,100,1,937
20:44:49.232186,49395,7,7,100,1,929
20:44:49.820016,49395,58,17,100,1,937
20:44:50.135215,61809,77,7,100,1,929
20:44:50.545929,49395,113,7,100,1,937
20:44:51.173389,61809,163,17,100,1,937
20:44:52.545026,61809,270,17,100,1,937
20:44:52.596530,49395,275,7,100,1,937
20:44:52.677198,61809,282,7,100,1,929
20:44:53.037483,49395,313,7,100,1,929
20:44:53.261466,49395,332,17,100,1,937
20:44:53.505001,49395,353,17,100,1,937
20:44:53.710316,49395,371,17,100,1,937
20:44:54.024433,49395,401,17,100,1,937
20:44:54.917471,49395,475,7,100,1,937
20:44:55.381013,61809,510,17,100,1,937
20:44:55.653458,61809,534,17,100,1,937
20:44:55.659050,61809,535,7,100,1,937
20:44:56.752371,61809,627,7,100,1,929
20:44:56.955741,49395,645,7,100,1,937
20:44:57.582721,61809,704,7,100,1,937
20:44:57.659481,61809,711,17,100,1,937
20:44:57.731879,49395,718,17,100,1,937
20:44:57.768337,49395,722,7,100,1,937
20:44:58.097020,49395,754,7,100,1,937
20:44:58.465585,61809,781,7,100,1,937
20:44:58.588061,61809,793,7,100,1,937
20:44:58.633188,61809,797,17,100,1,937
20:44:59.139616,49395,848,7,100,1,944
20:44:59.793714,49395,897,7,100,1,937
20:44:59.884562,61809,905,7,100,1,937
20:45:00.177911,61809,931,17,100,1,929
20:45:00.193637,61809,933,7,100,1,929
20:45:00.326260,61809,945,17,100,1,937
20:45:00.709996,61809,973,7,100,1,929
20:45:01.701047,49395,42,7,110,1,937
20:45:02.196785,49395,87,7,100,1,937
20:45:03.238784,49395,175,17,100,1,937
20:45:03.733201,61809,209,17,100,1,929
20:45:03.739706,61809,210,7,100,1,929
20:45:04.122255,49395,242,17,100,1,937
20:45:04.357632,49395,262,17,100,1,937
20:45:05.344180,49395,340,7,100,1,937
20:45:06.627393,61809,448,7,100,1,937
20:45:06.894039,61809,470,7,100,1,937
20:45:07.898945,49395,557,17,100,1,929
20:45:08.166931,61809,577,17,110,1,937
20:45:08.219893,61809,582,7,100,1,937
20:45:08.789837,61809,630,17,100,1,944
20:45:08.807234,61809,632,7,100,1,937
20:45:09.617765,61809,697,7,100,1,937
20:45:09.698408,49395,704,7,100,1,937
20:45:09.766906,61809,710,7,100,1,937
20:45:09.884101,49395,716,7,100,1,937
20:45:09.951385,61809,721,17,100,1,929
20:45:09.957069,61809,722,7,100,1,929
20:45:10.974333,49395,807,17,100,1,937
20:45:11.599913,49395,857,17,100,1,944
20:45:11.670331,61809,863,17,100,1,929
20:45:11.961940,49395,889,7,100,1,937
20:45:11.974116,61809,890,7,100,1,937
20:45:12.657713,49395,950,7,100,1,937
20:45:12.787567,61809,961,17,100,1,937
20:45:13.112500,49395,985,7,110,1,937
20:45:13.118228,49395,985,17,100,1,929
20:45:13.158316,49395,989,7,100,1,929
20:45:13.739137,61809,15,17,100,1,937
20:45:13.943468,49395,33,17,100,1,937
20:45:15.303252,49395,145,17,100,1,937
20:45:15.355331,61809,150,7,100,1,937
20:45:15.737304,49395,183,7,100,1,937
20:45:16.322925,61809,233,7,100,1,937
20:45:16.654284,61809,262,7,100,1,929
20:45:16.728868,61809,268,17,100,1,937
20:45:16.746201,61809,270,7,100,1,937
20:45:16.746201,49395,270,7,100,1,937
20:45:16.822556,61809,276,17,100,1,937
20:45:16.994629,49395,290,17,100,1,937
20:45:17.516865,49395,328,7,100,1,937
20:45:17.940286,61809,365,17,100,1,937
20:45:18.156543,61809,384,17,100,1,937
20:45:18.555628,49395,418,7,100,1,929
20:45:18.722440,61809,432,17,100,1,937
