profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status,candidate_tier,measurement_authorized,candidate_network_status
ae64__u8__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.3,clear,206753.65,4,206897.65,10.0,16.540292,16.551812,UNKNOWN_NOT_ESTIMATED,36.683697,0.45120349,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0__zstd3__ckptc6a2362c7c2d,ae64/u6/q0,clear,209216.95,4,209360.95,10.0,16.737356,16.748876,UNKNOWN_NOT_ESTIMATED,36.683697,0.45657546,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u8__q0__zstd3__ckpt10cebbeede4d,ae32/u8/q0,clear,235560.85,4,235704.85,10.0,18.844868,18.856388,UNKNOWN_NOT_ESTIMATED,36.683697,0.51402638,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,clear,265042.0,5,265222.0,10.0,21.20336,21.21776,UNKNOWN_NOT_ESTIMATED,36.683697,0.57839754,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,clear,268254.95,5,268434.95,10.0,21.460396,21.474796,UNKNOWN_NOT_ESTIMATED,36.683697,0.58540436,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0__zstd3__ckptc6a2362c7c2d,ae64/u8/q0,clear,279947.95,5,280127.95,10.0,22.395836,22.410236,UNKNOWN_NOT_ESTIMATED,36.683697,0.61090451,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,clear,350948.6,6,351164.6,10.0,28.075888,28.093168,UNKNOWN_NOT_ESTIMATED,36.683697,0.76582161,projected_below_capacity,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,ae32/u4/q0.9,mid,20277.35,1,20313.35,10.0,1.622188,1.625068,UNKNOWN_NOT_ESTIMATED,19.711695,0.08244182,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,DEGRADED_RESCUE,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.7,mid,50707.5,1,50743.5,10.0,4.0566,4.05948,UNKNOWN_NOT_ESTIMATED,19.711695,0.20594272,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32/u4/q0.5,mid,53124.35,1,53160.35,10.0,4.249948,4.252828,UNKNOWN_NOT_ESTIMATED,19.711695,0.21575151,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,mid,67666.95,2,67738.95,10.0,5.413356,5.419116,UNKNOWN_NOT_ESTIMATED,19.711695,0.27491882,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.5,mid,68073.1,2,68145.1,10.0,5.445848,5.451608,UNKNOWN_NOT_ESTIMATED,19.711695,0.27656719,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.3,mid,81274.35,2,81346.35,10.0,6.501948,6.507708,UNKNOWN_NOT_ESTIMATED,19.711695,0.33014452,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u8__q0.7__zstd3__ckpt10cebbeede4d,ae32/u8/q0.7,mid,85995.4,2,86067.4,10.0,6.879632,6.885392,UNKNOWN_NOT_ESTIMATED,19.711695,0.34930492,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.7,mid,89852.75,2,89924.75,10.0,7.18822,7.19398,UNKNOWN_NOT_ESTIMATED,19.711695,0.36495999,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0__zstd3__ckpt10cebbeede4d,ae32/u4/q0,mid,94873.8,2,94945.8,10.0,7.589904,7.595664,UNKNOWN_NOT_ESTIMATED,19.711695,0.38533794,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u4__q0.3__zstd3__ckpt601984b96d85,ae128/u4/q0.3,mid,103735.95,2,103807.95,10.0,8.298876,8.304636,UNKNOWN_NOT_ESTIMATED,19.711695,0.42130502,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0__zstd3__ckptc6a2362c7c2d,ae64/u4/q0,mid,106308.1,2,106380.1,10.0,8.504648,8.510408,UNKNOWN_NOT_ESTIMATED,19.711695,0.4317441,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.7,mid,114217.75,2,114289.75,10.0,9.13742,9.14318,UNKNOWN_NOT_ESTIMATED,19.711695,0.46384545,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
