profile_id,display_profile_id,stratum_axis,stratum_value,evidence_level,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person,candidate_tier
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,density_bin,3-4,frame_aggregate,453,1528,940,588,1376,1150,152,857,846,83,519,304,69,0.90052356,0.54473476,0.67883572,0.91170213,0.50322959,0.64850549,0.88265306,0.63061968,0.73564848,2.53863135,1.86754967,0.67108168,0.90307893,1.20636564,0.85032926,0.99018195,197611.9205298,197550.0,203891.6,188383,210265,0.74521063,0.97548797,0.72530713,0.53483679,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,density_bin,5+,frame_aggregate,135,792,394,398,685,474,107,343,295,51,342,179,56,0.86489899,0.59102675,0.702204,0.87055838,0.53761755,0.66472868,0.85929648,0.65642994,0.74428727,3.51111111,2.18518519,1.32592593,1.0982207,1.47403221,0.91694354,1.2800279,196719.85185185,196787.0,203039.6,190328,208141,0.7981061,0.98297989,0.75857029,0.65276813,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3544,3022,355,2280,2301,188,1264,721,167,0.90895101,0.53975023,0.6773053,0.92382496,0.49770792,0.64690027,0.88329839,0.63677582,0.74004684,1.79988088,1.37045861,0.42942228,0.87042501,1.17786419,0.76906415,1.05325946,197353.22751638,197161.0,203684.2,188383,210265,0.76066174,0.98423899,0.73599622,0.56175001,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,all,ALL,frame_aggregate,2162,3899,2468,1431,3546,3057,353,2281,2315,187,1265,742,166,0.90946397,0.53702862,0.67529994,0.92423015,0.49630113,0.64580974,0.8839972,0.63029397,0.73589296,1.41396855,1.07076781,0.34320074,0.86816016,1.17652169,0.76581671,1.05270197,267202.86817761,267225.0,268254.95,264159,269025,0.81911128,0.99646298,0.91380674,0.54706413,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2120,1669,256,1158,1133,121,962,536,135,0.89225589,0.55951438,0.68775345,0.90539484,0.50545613,0.6487395,0.8769371,0.64218959,0.74142582,2.45802651,1.66863034,0.78939617,0.9354455,1.25432805,0.82274441,1.07110855,266947.58615611,266975.0,267905.2,264159,268708,0.83300997,0.99489964,0.92249224,0.58163803,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2423,1842,287,1158,1136,121,1265,706,166,0.89409594,0.56811254,0.69476703,0.90539484,0.50479512,0.64819479,0.8839972,0.64180619,0.74368019,1.98920086,1.22678186,0.76241901,0.94280067,1.26005127,0.82274441,1.05270197,267038.37041037,267052.5,268031.5,264159,268780,0.83810274,0.9957059,0.91458293,0.6040194,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3243,2862,322,2281,2304,187,962,558,135,0.90967742,0.53120393,0.67073423,0.92423015,0.49749182,0.64681696,0.8769371,0.63289474,0.73519297,1.99860335,1.60893855,0.3896648,0.85637815,1.16437977,0.76581671,1.07110855,267046.63477654,267068.0,268001.05,264159,268708,0.81674817,0.99546454,0.92424169,0.53053828,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,density_bin,0,frame_aggregate,483,0,0,0,0,22,0,0,8,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04554865,0.01656315,0.02898551,,,,,267622.56728778,267605.0,268582.3,265939,269025,0.56601952,0.99859321,0.58734436,0.11212101,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1481,1398,98,1078,1159,56,403,239,42,0.9379354,0.51441473,0.66442351,0.95061728,0.4818954,0.63957283,0.90561798,0.62772586,0.74149034,1.28139322,1.06232814,0.21906508,0.72849779,0.97119281,0.64938653,0.94011552,267158.31622365,267204.0,268063.0,265298,268780,0.8087097,0.99661743,0.91696801,0.51254365,NORMAL
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,density_bin,3-4,frame_aggregate,453,1528,940,588,1380,1159,148,861,852,79,519,307,69,0.90314136,0.54352107,0.6786329,0.91595745,0.50262697,0.64907652,0.88265306,0.6283293,0.73408769,2.5584989,1.8807947,0.67770419,0.90859106,1.21785561,0.86017116,0.98891771,266991.59602649,267004.0,267987.0,265157,268703,0.81992625,0.99466867,0.9300674,0.53504269,NORMAL
