cell_id,telemetry_lag_steps,estimate_noise_fraction,scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
lag2__noise0.00,2,0.0,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,4.008016032064128,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8658736362460842,3.5598333454914836e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.16659981230653276,0.16659981230653276,-1653.0979892442247,0.17990864133782627,0.17990864133782627,499,0.020347292431725162,0.004325416975197057,7.014028056112225,6.613226452905812,21,4.208416833667335,100.0,0,0.0,0.0,15.4639018924847,240,165,75,68.75
lag2__noise0.05,2,0.05,ctrl_busylight_200k,shielded,600,5.333333333333334,94.66666666666667,3.3333333333333335,58.166666666666664,0.0,51.16666666666667,81.33333333333333,20.5,0.0,38.666666666666664,39.666666666666664,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,387,59.94832041343669,54.99167896161562,64.70940398703985,238,489,48.670756646216766,44.26833872135085,53.09389617846717,10.180168392627518,5.440092820663267e-17,7.105427357601002e-15,1000000.0,6.458714308694254,0.3084377850173256,0.3084377850173256,-10249.362932711612,-41.165523793396744,0.5050222836396058,599,0.027123804516059984,0.006861634834917506,43.833333333333336,41.5,21,3.5000000000000004,95.23809523809523,1,4.761904761904762,0.8455987809826399,22.66936007412256,1590,466,1124,29.30817610062893
lag2__noise0.05,2,0.05,ctrl_obeylight_200k,shielded,600,7.5,92.5,5.833333333333333,79.5,0.0,27.500000000000004,52.166666666666664,5.833333333333333,0.0,28.499999999999996,31.666666666666664,0,5,0.0,0.0,43.44824647831748,171,267,64.04494382022472,58.12731116561027,69.56416573256006,190,313,60.70287539936102,55.19365356379951,65.95256898213202,11.205931651850978,8.548717289613706e-17,1.4210854715202004e-14,1000000.0,19.088005275301327,0.4516865727792025,0.4516865727792025,-6916.105785285884,0.5854975455308513,0.5854975455308513,600,0.03429157069944862,0.009027568276043008,31.666666666666664,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag2__noise0.05,2,0.05,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,3.6072144288577155,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8667649238575856,4.894770850050791e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.17186800757310264,0.17186800757310264,-1653.0921239849185,0.18551752709041303,0.18551752709041303,499,0.019980794333203534,0.004873259278730007,7.014028056112225,6.613226452905812,20,4.008016032064128,100.0,0,0.0,0.0,16.112515805281937,240,165,75,68.75
lag2__noise0.10,2,0.1,ctrl_busylight_200k,shielded,600,5.333333333333334,94.66666666666667,3.3333333333333335,58.166666666666664,0.0,51.0,81.33333333333333,20.666666666666668,0.0,38.666666666666664,39.666666666666664,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,386,60.10362694300518,55.142097638504374,64.86603598482988,238,489,48.670756646216766,44.26833872135085,53.09389617846717,10.180280972582125,5.3660779523549233e-17,7.105427357601002e-15,1000000.0,6.458714308694254,0.30695868231061735,0.30695868231061735,-10249.364817781629,-41.167083695215666,0.5034597776440022,599,0.026585490001208963,0.006861634834917506,43.833333333333336,41.5,21,3.5000000000000004,95.23809523809523,1,4.761904761904762,0.8455987809826399,22.66936007412256,1590,466,1124,29.30817610062893
lag2__noise0.10,2,0.1,ctrl_obeylight_200k,shielded,600,7.5,92.5,5.833333333333333,79.5,0.0,27.500000000000004,52.166666666666664,5.833333333333333,0.0,28.499999999999996,31.666666666666664,0,5,0.0,0.0,43.44824647831748,171,267,64.04494382022472,58.12731116561027,69.56416573256006,190,313,60.70287539936102,55.19365356379951,65.95256898213202,11.205931651850978,8.548717289613706e-17,1.4210854715202004e-14,1000000.0,19.088005275301327,0.4514747754994977,0.4514747754994977,-6916.105785285884,0.5854975455308513,0.5854975455308513,600,0.03450336797915343,0.009027568276043008,31.666666666666664,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag2__noise0.10,2,0.1,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,3.6072144288577155,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8687402341708932,6.674687522796532e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.17292785730866897,0.17292785730866897,-1653.0908392047513,0.18680230725781752,0.18680230725781752,499,0.0188746255645056,0.004883784676740223,7.214428857715431,6.613226452905812,19,3.807615230460922,100.0,0,0.0,0.0,16.817922405261626,240,165,75,68.75
lag4__noise0.00,4,0.0,ctrl_busylight_200k,shielded,600,5.666666666666666,94.33333333333334,4.0,58.166666666666664,0.0,50.83333333333333,81.0,20.5,0.0,38.666666666666664,39.666666666666664,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,387,59.94832041343669,54.99167896161562,64.70940398703985,238,489,48.670756646216766,44.26833872135085,53.09389617846717,10.179316080583074,5.4030853865090954e-17,7.105427357601002e-15,1000000.0,6.579229214160312,0.2956334644261766,0.2956334644261766,-10332.713413874588,-124.51587169557841,0.4953850158583923,597,0.03032075370854732,0.005201042471401642,44.5,41.5,23,3.833333333333333,86.95652173913044,3,13.043478260869565,4.537659093631238,32.12748227009597,1590,466,1124,29.30817610062893
lag4__noise0.00,4,0.0,ctrl_obeylight_200k,shielded,600,7.5,92.5,5.833333333333333,79.5,0.0,27.333333333333332,52.0,5.833333333333333,0.0,28.333333333333332,31.5,0,5,0.0,0.0,43.44824647831748,170,266,63.909774436090224,57.97810281086506,69.44540739524155,189,312,60.57692307692308,55.057320475707215,65.83923954096518,11.206416193284621,1.0029014655780581e-16,1.4210854715202004e-14,1000000.0,19.088005275301327,0.45129941463306994,0.45129941463306994,-6916.106123867439,0.5851589639754625,0.5851589639754625,600,0.03420552839121796,0.009027568276043008,31.666666666666664,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag4__noise0.00,4,0.0,oppwin_fast_test,shielded,499,4.609218436873747,95.39078156312625,3.807615230460922,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8457599789685033,4.0048125136779195e-18,8.881784197001252e-16,1000000.0,6.783368315865538,0.16812699887803462,0.16812699887803462,-1653.0978452373822,0.18001873846826383,0.18001873846826383,499,0.02045661906513595,0.003982136239601249,7.014028056112225,6.613226452905812,22,4.408817635270541,100.0,0,0.0,0.0,14.865487460862086,240,165,75,68.75
lag4__noise0.05,4,0.05,ctrl_busylight_200k,shielded,600,5.666666666666666,94.33333333333334,4.0,58.166666666666664,0.0,50.83333333333333,81.0,20.5,0.0,38.666666666666664,39.666666666666664,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,387,59.94832041343669,54.99167896161562,64.70940398703985,238,489,48.670756646216766,44.26833872135085,53.09389617846717,10.179316080583074,5.4030853865090954e-17,7.105427357601002e-15,1000000.0,6.579229214160312,0.29565999588610536,0.29565999588610536,-10332.713413874588,-124.51587169557841,0.4953850158583923,597,0.030294222248618528,0.005201042471401642,44.5,41.5,23,3.833333333333333,86.95652173913044,3,13.043478260869565,4.537659093631238,32.12748227009597,1590,466,1124,29.30817610062893
lag4__noise0.05,4,0.05,ctrl_obeylight_200k,shielded,600,7.5,92.5,5.833333333333333,79.5,0.0,27.333333333333332,52.0,5.833333333333333,0.0,28.333333333333332,31.5,0,5,0.0,0.0,43.44824647831748,170,266,63.909774436090224,57.97810281086506,69.44540739524155,189,312,60.57692307692308,55.057320475707215,65.83923954096518,11.206416193284621,1.0029014655780581e-16,1.4210854715202004e-14,1000000.0,19.088005275301327,0.4512881110236728,0.4512881110236728,-6916.106123867439,0.5851589639754625,0.5851589639754625,600,0.03421683200061507,0.009027568276043008,31.666666666666664,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag4__noise0.05,4,0.05,oppwin_fast_test,shielded,499,4.609218436873747,95.39078156312625,3.406813627254509,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8466589258374075,5.339750018237226e-18,8.881784197001252e-16,1000000.0,6.783368315865538,0.1731322252059628,0.1731322252059628,-1653.0922363518596,0.18537125043750452,0.18537125043750452,499,0.020096520519737687,0.004529978790891323,7.014028056112225,6.613226452905812,21,4.208416833667335,100.0,0,0.0,0.0,15.4639018924847,240,165,75,68.75
lag4__noise0.10,4,0.1,ctrl_busylight_200k,shielded,600,5.666666666666666,94.33333333333334,4.0,58.166666666666664,0.0,50.66666666666667,81.0,20.666666666666668,0.0,38.666666666666664,39.666666666666664,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,386,60.10362694300518,55.142097638504374,64.86603598482988,238,489,48.670756646216766,44.26833872135085,53.09389617846717,10.179428660537681,5.329070518200751e-17,7.105427357601002e-15,1000000.0,6.579229214160312,0.294151208485215,0.294151208485215,-10332.715298944604,-124.51743159739735,0.4938172753368403,597,0.029785592427949627,0.005201042471401642,44.5,41.5,23,3.833333333333333,86.95652173913044,3,13.043478260869565,4.537659093631238,32.12748227009597,1590,466,1124,29.30817610062893
