1787368099527453594,1582744590998933,connecting to 127.0.0.1:2031
1787368099527467700,1582744591012674,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787368099527493332,1582744591038386,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787368101673256966,1582746736802237,20:08:21.673119,10844,174,8,510,61,0,480,0,5,28,890
1787368101698640175,1582746762185453,20:08:21.698098,10844,178,7,510,48,0,106,0,5,28,890
1787368101702035362,1582746765580675,20:08:21.701338,10844,178,17,510,48,0,106,0,5,28,890
1787368101705381690,1582746768926969,20:08:21.704603,10844,179,7,500,48,0,2178,0,106,28,860
1787368101706115484,1582746769660672,20:08:21.705094,10844,179,8,505,61,0,10247,0,106,28,860
1787368101706134290,1582746769679250,20:08:21.705315,10844,179,9,505,61,0,8197,0,85,28,860
1787368101709349460,1582746772894715,20:08:21.708555,10844,179,17,500,61,0,2178,0,106,28,860
1787368101710412064,1582746773957451,20:08:21.709402,10844,179,18,505,61,0,10247,0,106,28,860
1787368101710424234,1582746773969204,20:08:21.709935,10844,179,19,505,61,1,8197,0,85,28,860
1787368101769499762,1582746833045215,20:08:21.768409,10844,189,8,510,61,0,480,0,5,28,890
1787368101800117601,1582746863662551,20:08:21.799424,10844,194,7,505,48,0,106,0,5,28,860
1787368101803284756,1582746866829712,20:08:21.802227,10844,194,17,510,48,0,106,0,5,28,890
1787368101806563595,1582746870108632,20:08:21.805876,10844,195,7,500,48,0,2178,0,106,28,860
1787368101806569264,1582746870114175,20:08:21.806236,10844,195,8,505,61,0,10247,0,106,28,860
1787368101806570422,1582746870115331,20:08:21.806500,10844,195,9,505,61,0,8197,0,85,28,860
1787368101809747502,1582746873292825,20:08:21.808655,10844,195,17,500,61,0,2178,0,106,28,860
1787368101809757104,1582746873302052,20:08:21.809124,10844,195,18,505,61,1,10247,0,106,28,860
1787368101809758869,1582746873303784,20:08:21.809468,10844,195,19,505,61,1,8197,0,85,28,860
1787368101871066674,1582746934611762,20:08:21.869959,10844,205,8,510,61,0,480,0,5,28,890
1787368101897299331,1582746960844327,20:08:21.897007,10844,209,17,505,48,0,106,0,5,28,860
1787368101900499209,1582746964044131,20:08:21.900262,10844,210,7,510,48,0,106,0,5,28,890
1787368101903687358,1582746967232381,20:08:21.903527,10844,210,17,500,48,0,2178,0,106,28,860
1787368101904771949,1582746968316900,20:08:21.903944,10844,210,18,505,61,0,10247,0,106,28,860
1787368101904774222,1582746968319184,20:08:21.904261,10844,210,19,505,61,0,8197,0,85,28,860
1787368101908008793,1582746971553932,20:08:21.906860,10844,211,7,500,61,0,2178,0,106,28,860
1787368101908019436,1582746971564387,20:08:21.907287,10844,211,8,505,61,1,10247,0,106,28,860
1787368101908021402,1582746971566325,20:08:21.907514,10844,211,9,505,61,1,8197,0,85,28,860
1787368101970509353,1582747034054548,20:08:21.970348,10844,221,8,510,61,0,480,0,5,28,890
1787368101999132582,1582747062677883,20:08:21.998683,10844,225,17,505,48,0,106,0,5,28,860
1787368102002249410,1582747065794460,20:08:22.002091,10844,226,7,510,48,0,106,0,5,28,860
1787368102005600490,1582747069145931,20:08:22.004919,10844,226,17,500,48,0,2178,0,106,28,860
1787368102006453288,1582747069998271,20:08:22.005423,10844,226,18,505,61,0,10247,0,106,28,860
1787368102006512371,1582747070057295,20:08:22.005677,10844,226,19,505,61,0,8197,0,85,28,860
1787368102008562924,1582747072107867,20:08:22.008338,10844,227,7,500,61,0,2178,0,106,28,860
1787368102009656187,1582747073201294,20:08:22.009257,10844,227,8,505,61,1,10247,0,106,28,860
1787368102009661072,1582747073206079,20:08:22.009479,10844,227,9,505,61,1,8197,0,85,28,860
1787368102072836500,1582747136382006,20:08:22.071995,10844,237,8,510,61,0,480,0,5,28,890
1787368102097068706,1582747160613888,20:08:22.096672,10844,241,7,510,48,0,106,0,5,28,860
1787368102100259278,1582747163804344,20:08:22.099768,10844,241,17,505,48,0,106,0,5,28,860
1787368102103956385,1582747167501762,20:08:22.103140,10844,242,7,500,48,0,2178,0,106,28,860
1787368102103966089,1582747167511068,20:08:22.103676,10844,242,8,505,61,0,10247,0,106,28,860
