1787365427481165545,1580072544716957,connecting to 127.0.0.1:2031
1787365427481215789,1580072544760788,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787365427481218800,1580072544763733,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787365429450054413,1580074513599395,19:23:49.449647,44027,159,18,505,61,0,10247,0,106,28,860
1787365429450995368,1580074514540738,19:23:49.450198,44027,159,19,505,61,1,8197,0,85,28,860
1787365429510155563,1580074573701322,19:23:49.509960,44027,169,8,510,61,0,480,0,5,28,860
1787365429542025833,1580074605571211,19:23:49.541495,44027,174,7,505,48,0,106,0,5,28,860
1787365429544970323,1580074608515357,19:23:49.544689,44027,174,17,510,48,0,106,0,5,28,890
1787365429548676817,1580074612221838,19:23:49.548048,44027,175,7,500,48,0,2178,0,106,28,860
1787365429549216202,1580074612761163,19:23:49.548558,44027,175,8,505,61,0,10247,0,106,28,860
1787365429550210772,1580074613755702,19:23:49.549099,44027,175,9,505,61,0,8197,0,85,28,860
1787365429551610909,1580074615155921,19:23:49.551205,44027,175,17,500,61,0,2178,0,106,28,860
1787365429552521666,1580074616066664,19:23:49.551579,44027,175,18,505,61,1,10247,0,106,28,860
1787365429552526572,1580074616071494,19:23:49.552054,44027,175,19,505,61,1,8197,0,85,28,860
1787365429612727187,1580074676272838,19:23:49.612038,44027,185,8,510,61,0,480,0,5,28,860
1787365429641163044,1580074704708660,19:23:49.640314,44027,189,17,510,48,0,106,0,5,28,860
1787365429644331605,1580074707876665,19:23:49.643686,44027,190,7,505,48,0,106,0,5,28,860
1787365429647461824,1580074711007028,19:23:49.646995,44027,190,17,500,48,0,2178,0,106,28,860
1787365429648496961,1580074712041991,19:23:49.647402,44027,190,18,505,61,0,10247,0,106,28,860
1787365429648568340,1580074712113276,19:23:49.647713,44027,190,19,505,61,0,8197,0,85,28,860
1787365429650853737,1580074714398887,19:23:49.650112,44027,191,7,500,61,0,2178,0,106,28,860
1787365429650862509,1580074714407454,19:23:49.650555,44027,191,8,505,61,1,10247,0,106,28,860
1787365429651764356,1580074715309490,19:23:49.650862,44027,191,9,505,61,1,8197,0,85,28,860
1787365429716533063,1580074780078598,19:23:49.715673,44027,201,8,510,61,0,480,0,5,28,860
1787365429741297672,1580074804843241,19:23:49.740765,44027,205,7,510,48,0,106,0,5,28,890
1787365429744490875,1580074808036138,19:23:49.743822,44027,205,17,505,48,0,106,0,5,28,860
1787365429747642398,1580074811187714,19:23:49.747180,44027,206,7,500,48,0,2178,0,106,28,860
1787365429747649991,1580074811194966,19:23:49.747507,44027,206,8,505,61,0,10247,0,106,28,860
1787365429748755210,1580074812300400,19:23:49.747848,44027,206,9,505,61,0,8197,0,85,28,860
1787365429750865090,1580074814410250,19:23:49.750193,44027,206,17,500,61,0,2178,0,106,28,860
1787365429750883727,1580074814428734,19:23:49.750652,44027,206,18,505,61,1,10247,0,106,28,860
