spawn_index,x,y,z,yaw
55,-3.9739,28.1042,0.6,0.1592
56,19.6009,24.6112,0.6,0.1592
57,17.0912,28.1042,0.6,0.1592
58,77.0081,24.8497,0.6,0.1592
59,74.7988,28.3435,0.6,0.1592
60,10.9125,-57.4014,0.6,-0.0234
61,7.4111,-60.9,0.6,-0.0234
62,106.5132,-21.5546,0.9,-91.5196
63,109.9569,-27.3337,0.6,-94.6824
64,30.0182,133.9472,0.6,-179.6795
65,109.947,-17.188,0.6,-89.6093
66,-6.5545,137.226,0.6,0.3521
67,-41.854,-30.4386,0.6001,-89.5677
68,-52.0739,82.655,0.6,89.8388
69,-28.5817,140.5356,0.6,0.3521
70,-18.3859,130.2101,0.6,-179.6478
71,-9.8759,-57.5517,0.6,0.5967
72,11.1763,-64.3988,0.6,179.9766
73,-15.4075,133.7285,0.6,-179.6478
74,14.2749,-67.9,0.6,179.9766
75,-110.7644,46.6601,0.6,90.6422
76,99.0786,42.1418,0.6,90.3907
77,-78.0341,12.9672,0.6,-179.8408
78,-71.2697,132.3149,0.6,-167.1271
79,-41.6689,48.9055,0.6,-90.1612
80,-87.2761,24.4415,0.6,0.1592
81,-5.7835,-64.5487,0.6,-179.4032
82,-27.8003,-61.284,0.6,0.5967
83,-27.1603,137.0442,0.6,0.3521
84,52.79,69.8228,0.6,0.0733
85,-89.8858,27.9343,0.6,0.1592
86,-66.7942,12.9984,0.6,-179.8408
87,106.0192,50.8693,0.6,-89.6093
88,21.6306,140.9727,0.6,0.3204
89,-52.3308,-14.0396,0.6,90.4323
90,-64.1039,16.5059,0.6,-179.8408
91,-76.6661,24.471,0.6,0.1592
92,99.4349,-19.6577,0.6,90.8448
93,-25.5163,24.6131,0.6,0.1592
94,-79.2758,27.9638,0.6,0.1592
95,-45.34,-25.565,0.6001,-89.5677
96,-75.3439,16.4747,0.6,-179.8408
97,44.0289,52.5487,0.6,-90.7511
98,109.5028,53.2932,0.6,-89.6093
99,-52.3109,-1.5852,0.6,89.8388
100,-106.6867,-4.8475,0.6,-89.3578
101,-28.726,28.1042,0.6,0.1592
102,-48.82,-4.7951,0.6,89.8388
103,-45.3113,-1.6944,0.6,-90.1612
104,-41.8251,-6.6042,0.6,-90.1612
105,83.0752,13.4148,0.6,-179.8408
106,-68.7352,129.3038,0.6,-167.1271
107,59.813,24.8502,0.6,0.1592
108,-52.1867,42.5651,0.6,89.8388
109,-67.0453,-68.6932,0.6,-179.4032
110,-48.84,-17.2132,0.6,90.4323
