model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,66633,1,1,0,0,1,0,0,0,0,0,0.5923491473639038,0.3508775123827438,0.5923491473639038,0.0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,793583,1,1,0,0,1,0,0,0,0,0,0.3452747156048692,0.11921462923602331,0.3452747156048692,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,569716,1,1,0,0,1,0,0,0,0,0,0.34532693852640356,0.1192506944720185,0.34532693852640356,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,451833,1,1,0,0,1,0,0,0,0,0,0.4100076228058969,0.16810625075894264,0.4100076228058969,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,324089,1,1,0,0,1,0,0,0,0,0,0.38377460272155245,0.1472829456940854,0.38377460272155245,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,163448,1,1,0,0,1,0,0,0,0,0,0.32791196045440224,0.10752625380904945,0.32791196045440224,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,61622,1,1,0,0,1,0,0,0,0,0,0.5537254871696933,0.30661191514131414,0.5537254871696933,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,393386,1,1,0,0,1,0,0,0,0,0,0.904585674521954,0.8182752425503386,0.904585674521954,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,288057,1,1,0,0,1,0,0,0,0,0,0.7825208170989864,0.6123388291932652,0.7825208170989864,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,237165,1,1,0,0,1,0,0,0,0,0,0.867717766030109,0.752934121484283,0.867717766030109,0.0
