scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
policy_corpus_vehicle_v2__test__dense__02,fixed,600,71.16666666666667,28.833333333333332,2.166666666666667,19.5,0.0,58.166666666666664,84.83333333333334,23.833333333333336,0.0,4.833333333333333,4.666666666666667,0,415,0.0,0.0,0.9171629837003916,29,431,6.728538283062645,4.725375505190037,9.49623505338237,28,511,5.47945205479452,3.817953508931118,7.805325423920973,3.4540795324139957,9.992007221626408e-18,8.881784197001252e-16,1000000.0,20.912111215219213,-0.11265673570018073,-0.11265673570018073,-5291.188779007392,-0.08550382403640282,-0.08550382403640282,600,0.2391788714216883,0.20018345432470586,33.83333333333333,21.166666666666668,215,35.833333333333336,100.0,0,0.0,0.0,1.7553615486732757,1037,192,845,18.514946962391512
policy_corpus_vehicle_v2__test__dense__02,greedy,600,4.833333333333333,95.16666666666667,2.0,19.5,0.0,7.000000000000001,84.83333333333334,75.0,0.0,4.833333333333333,4.666666666666667,0,17,0.0,0.0,18.43181350088518,29,431,6.728538283062645,4.725375505190037,9.49623505338237,28,511,5.47945205479452,3.817953508931118,7.805325423920973,3.4598051581308407,1.0732155904709846e-17,8.881784197001252e-16,1000000.0,20.91197770496697,0.11983046984972442,0.11983046984972442,-20708.170227590042,0.14706984051173252,0.14706984051173252,600,0.013638072653386683,0.012625211038546363,86.0,83.0,13,2.166666666666667,100.0,0,0.0,0.0,22.80953723541984,1037,192,845,18.514946962391512
policy_corpus_vehicle_v2__test__dense__02,linucb,600,13.0,87.0,2.0,19.5,0.0,14.166666666666666,84.83333333333334,67.83333333333333,0.0,4.833333333333333,4.666666666666667,0,66,0.0,0.0,5.500255701354129,29,431,6.728538283062645,4.725375505190037,9.49623505338237,28,511,5.47945205479452,3.817953508931118,7.805325423920973,3.459088974189487,9.992007221626408e-18,8.881784197001252e-16,1000000.0,20.91197770496697,0.10454785639430533,0.10454785639430533,-18624.781508896966,0.13137336479416967,0.13137336479416967,600,0.02792210874937331,0.053432431028916726,78.66666666666666,74.66666666666667,28,4.666666666666667,100.0,0,0.0,1.3877787807814457e-15,12.064330476584564,1037,192,845,18.514946962391512
policy_corpus_vehicle_v2__test__dense__02,mpc,600,4.0,96.0,2.0,19.5,0.0,7.000000000000001,84.83333333333334,75.0,0.0,4.833333333333333,4.666666666666667,0,12,0.0,2.7755575615628914e-15,24.249400665524085,29,431,6.728538283062645,4.725375505190037,9.49623505338237,28,511,5.47945205479452,3.817953508931118,7.805325423920973,3.4593722529151343,1.0362081563168128e-17,8.881784197001252e-16,1000000.0,20.91197770496697,0.12026167579292919,0.12026167579292919,-20874.839609999544,0.14744795684789475,0.14744795684789475,600,0.013207721323641059,0.012625211038546363,86.0,83.66666666666667,13,2.166666666666667,100.0,0,0.0,0.0,22.80953723541984,1037,192,845,18.514946962391512
policy_corpus_vehicle_v2__test__dense__02,rule,600,4.833333333333333,95.16666666666667,2.0,19.5,0.0,7.000000000000001,84.83333333333334,75.0,0.0,4.833333333333333,4.666666666666667,0,17,0.0,0.0,18.43181350088518,29,431,6.728538283062645,4.725375505190037,9.49623505338237,28,511,5.47945205479452,3.817953508931118,7.805325423920973,3.438095668260449,1.0362081563168128e-17,8.881784197001252e-16,1000000.0,20.738843666818017,0.10312339242294685,0.10312339242294685,-20916.52189434041,0.13133061877117022,0.13133061877117022,600,0.023354175736799047,0.059133933442296976,85.83333333333333,84.0,22,3.6666666666666665,100.0,0,0.0,0.0,14.865487460862086,1037,192,845,18.514946962391512
policy_corpus_vehicle_v2__test__exact_fast__01,fixed,199,3.5175879396984926,96.4824120603015,2.0100502512562812,98.49246231155779,0.0,0.0,1.507537688442211,1.507537688442211,0.0,0.0,0.0,0,3,0.0,5.551115123125783e-15,56.14970317550454,0,0,,,,0,3,0.0,5.551115123125783e-15,56.14970317550454,68.90682088033655,6.6948122087949135e-18,4.440892098500626e-16,122.54669883535965,122.54669883535965,-0.7863841458236925,-0.7863841458236925,-0.7236178433187266,-0.7374258467765183,-0.7374258467765183,199,0.01365081888776603,0.0023558365524299074,1.507537688442211,0.0,5,2.512562814070352,100.0,0,0.0,0.0,43.44824647831748,199,196,3,98.49246231155779
policy_corpus_vehicle_v2__test__exact_fast__01,greedy,199,2.0100502512562812,97.98994974874373,2.0100502512562812,98.49246231155779,0.0,0.0,1.507537688442211,1.507537688442211,0.0,0.0,0.0,0,0,,,,0,0,,,,0,3,0.0,5.551115123125783e-15,56.14970317550454,68.90950157130317,6.6948122087949135e-18,4.440892098500626e-16,124.57385101999938,122.54623574444031,-0.7437058134576533,-0.7437058134576533,-377.5782633005418,-0.6938411899890726,-0.6938411899890726,199,0.012157648525717135,0.0,1.507537688442211,1.507537688442211,4,2.0100502512562812,100.0,0,0.0,0.0,48.98908364545973,199,196,3,98.49246231155779
policy_corpus_vehicle_v2__test__exact_fast__01,linucb,199,3.015075376884422,96.98492462311557,2.0100502512562812,98.49246231155779,0.0,0.0,1.507537688442211,1.507537688442211,0.0,0.0,0.0,0,2,0.0,0.0,65.76197724933469,0,0,,,,0,3,0.0,5.551115123125783e-15,56.14970317550454,68.90950157130317,6.6948122087949135e-18,4.440892098500626e-16,123.22544411386214,122.54623574444031,-0.7448451971690818,-0.7448451971690818,-126.31520202563355,-0.6949475536902727,-0.6949475536902727,199,0.012794519674331766,0.0,1.507537688442211,0.5025125628140703,4,2.0100502512562812,100.0,0,0.0,0.0,48.98908364545973,199,196,3,98.49246231155779
policy_corpus_vehicle_v2__test__exact_fast__01,mpc,199,2.0100502512562812,97.98994974874373,2.0100502512562812,98.49246231155779,0.0,0.0,1.507537688442211,1.507537688442211,0.0,0.0,0.0,0,0,,,,0,0,,,,0,3,0.0,5.551115123125783e-15,56.14970317550454,68.90950157130317,6.6948122087949135e-18,4.440892098500626e-16,124.57385101999938,122.54623574444031,-0.7437058134576533,-0.7437058134576533,-377.5782633005418,-0.6938411899890726,-0.6938411899890726,199,0.012157648525717135,0.0,1.507537688442211,1.507537688442211,4,2.0100502512562812,100.0,0,0.0,0.0,48.98908364545973,199,196,3,98.49246231155779
policy_corpus_vehicle_v2__test__exact_fast__01,rule,199,2.0100502512562812,97.98994974874373,2.0100502512562812,98.49246231155779,0.0,0.0,1.507537688442211,1.507537688442211,0.0,0.0,0.0,0,0,,,,0,0,,,,0,3,0.0,5.551115123125783e-15,56.14970317550454,68.9068566844583,8.926416278393219e-18,4.440892098500626e-16,124.57430657341524,122.54669883535965,-0.7827788966812415,-0.7827788966812415,-377.61726101381885,-0.7328389032661919,-0.7328389032661919,199,0.009369545041660318,0.0019397212567698776,1.507537688442211,1.507537688442211,4,2.0100502512562812,100.0,0,0.0,0.0,48.98908364545973,199,196,3,98.49246231155779
