action_id,profile_id,execution_mode,family,latent_width,quantizer,bit_width,q,q_e4,keep_count,drop_count,zstd_level,wire_layout,wire_version,checkpoint_sha256,routing_tag,decoder_identity,pre_zstd_analytical_bytes,zstd_median_bytes,zstd_p95_bytes,ratio_vs_dense_fp32_q0,ratio_vs_same_family_same_q_uint8,vehicle_precision,vehicle_recall,vehicle_f1,vehicle_xy_mae_m,canonical_person_precision,canonical_person_recall,canonical_person_f1,canonical_person_xy_mae_m,person_avo_precision,person_avo_recall,person_avo_f1,person_avo_xy_mae_m,person_avo_recall_0_30m,person_avo_recall_30_40m_diagnostic,vehicle_iou,person_box_mask_iou,foreground_miou,relative_preservation_passed,relative_preservation_count,absolute_service_ready,absolute_service_count,localization_requirements_passed,localization_requirement_count,localization_requirements_evaluated,segmentation_installable,segmentation_behavior,source_contract_tier,stress_or_emergency_anchor,transport_valid,agent_action_enabled,source_evidence_path,source_evidence_sha256,durable_setting_path,durable_setting_sha256
10,split_noae_uint6_q9000,SPLIT,noAE,,UINT6,6,0.9,9000,2150,19354,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,417588,275511.0,280514.6,0.012511773312976211,0.7887246931110297,0.8854604394285028,0.7610153750902899,0.818534961154273,0.6686073634788954,0.6591503267973856,0.5209194214876033,0.5819388343912291,0.8662250206658625,0.5614307931570762,0.6273896419881821,0.59258043335522,0.8312726095543653,0.7429775280898876,0.2941970310391363,0.40382038008997967,0.36671271410555356,0.38526654709776664,True,12,False,3,False,4,8,False,retain_previous_segmentation_layer_with_original_timestamp,EMERGENCY_ONLY,True,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q9000.json,7524d78876ec9cfcf145c14ee49ffac252e02299d1c2ba088cba423e9285f260
11,split_noae_uint6_q9800,SPLIT,noAE,,UINT6,6,0.98,9800,430,21074,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,87348,56252.0,57230.799999999996,0.0025545704977352553,0.7908448031042191,0.8263370978052419,0.4001651016406976,0.539210233592881,0.9445463102797858,0.6276483050847458,0.30604338842975204,0.4114583333333333,0.9829375802459547,0.5467005076142132,0.3743482794577685,0.4443985970703528,0.9610052937468879,0.48080524344569286,0.06747638326585695,0.0794400600311816,0.17856811537922182,0.12900408770520172,True,12,False,3,False,3,8,False,retain_previous_segmentation_layer_with_original_timestamp,EMERGENCY_ONLY,True,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q9800.json,3d983fc41243d2ef2c80b94dc95b9ee64faf28fd71477da41c0b58e2b81fe032
12,split_noae_uint4_q0000,SPLIT,noAE,,UINT4,4,0.0,0,21504,0,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,2754612,1436103.0,1558388.8,0.06521770524619734,0.4024584637165999,0.9325431989366415,0.8687441956454443,0.8995138629200278,0.47905616765836595,0.79750346740638,0.59400826446281,0.6808762581409118,0.8432346658195582,0.7060647829083391,0.7122002085505735,0.7091192247793736,0.8167491865004741,0.8295880149812734,0.3738191632928475,0.8989035151908015,0.5274933455564375,0.7131984303736194,True,12,False,7,True,8,8,True,install_current_segmentation,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q0000.json,1206007f9929cbda638e28c2b4d977a58b0a137f2dce0fb7f18aeea116594c48
13,split_noae_uint4_q3000,SPLIT,noAE,,UINT4,4,0.3,3000,15053,6451,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,1931572,1097430.0,1131807.6,0.04983755779936004,0.4365739864074611,0.9332591768631813,0.865751728407801,0.8982388523098336,0.48659542491675073,0.7414603572547791,0.6110537190082644,0.6699702675916749,0.845245778051548,0.6376063183475091,0.7295794230100799,0.6804992705462798,0.8181621772182227,0.8380149812734082,0.41700404858299595,0.8747882382777682,0.50045817186041,0.6876232050690891,True,12,False,7,False,6,8,True,install_current_segmentation,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q3000.json,7aa2c84ca2856c710474b0af3d4859b867c5b2c77d89c1fff314d0a769dca228
14,split_noae_uint4_q5000,SPLIT,noAE,,UINT4,4,0.5,5000,10752,10752,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,1381044,804068.0,822436.0,0.03651511752423009,0.4497884942198116,0.9327019498607242,0.8637911464245176,0.896924890174649,0.5015408116203153,0.7358199753390875,0.6164772727272727,0.6708825182686903,0.8362008215653391,0.6314687406521089,0.7337504344803615,0.6787781350482315,0.8040056019519028,0.8412921348314607,0.42375168690958165,0.8217156200787067,0.48975808204106164,0.6557368510598842,True,12,False,4,False,6,8,False,retain_previous_segmentation_layer_with_original_timestamp,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q5000.json,8cf10abbc3973b681c19a570a99af605439f9024e627195197a8d1221991d806
15,split_noae_uint4_q7000,SPLIT,noAE,,UINT4,4,0.7,7000,6451,15053,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,830516,492303.0,501834.6,0.02235694232643389,0.46304329423715423,0.9171826625386997,0.8559488184913837,0.8855084067253802,0.5330236743419888,0.7365608299276957,0.6051136363636364,0.6643981284559762,0.856041666772742,0.6241751649670066,0.7233229058046576,0.6701014329415553,0.8184252632053475,0.8267790262172284,0.4251012145748988,0.7039510673568079,0.45889488404522516,0.5814229757010165,True,12,False,4,False,6,8,False,retain_previous_segmentation_layer_with_original_timestamp,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q7000.json,07b6bcb2e4b03b7b82a86ac94d862d4e511df5f9c5e18721b0485a9acdd0f6b9
16,split_noae_uint4_q9000,SPLIT,noAE,,UINT4,4,0.9,9000,2150,19354,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,279988,165930.0,170371.4,0.007535374434494967,0.4750194668376695,0.8840095465393795,0.764420596429677,0.8198771512367883,0.6693543448852496,0.6577159495308962,0.525051652892562,0.5839437024271148,0.8753472578746683,0.5598765432098766,0.6305179005908933,0.5931011933954553,0.8384471218820904,0.7457865168539326,0.2982456140350877,0.40442562176503466,0.36653574186939003,0.38548068181721235,True,12,False,3,False,4,8,False,retain_previous_segmentation_layer_with_original_timestamp,EMERGENCY_ONLY,True,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q9000.json,f879e99ff7057ad00523ce2cdf4790477c3cf1757fd8345c25289aa63ea806aa
17,split_noae_uint4_q9800,SPLIT,noAE,,UINT4,4,0.98,9800,430,21074,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,59828,34811.0,35724.0,0.0015808709663062996,0.4894065711594427,0.825800976023764,0.40160974099680113,0.5404054429325188,0.946399652882089,0.6214659685863875,0.3065599173553719,0.4105845728121757,0.986899855585774,0.5373878364905285,0.3746958637469586,0.44153184517714517,0.971402755847036,0.48080524344569286,0.06882591093117409,0.07973839118926303,0.1790290818186328,0.1293837365039479,True,12,False,3,False,3,8,False,retain_previous_segmentation_layer_with_original_timestamp,EMERGENCY_ONLY,True,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint4_q9800.json,803cde637782c847d9205b4f1ed0d1fbf39ead47afc1771bd3a10655a3c0273b
18,split_ae128_uint8_q0000,SPLIT,AE128,128,UINT8,8,0.0,0,21504,0,1,CURRENT_CELL_MAJOR,1,0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,204186532,AE128_DECODER_0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,2753586,2345384.0,2374485.4,0.10651085778746185,1.0,0.9354335967939441,0.8670931792384687,0.8999678697654493,0.4813474971373565,0.7907789032483409,0.5847107438016529,0.672308834446919,0.8399358682991729,0.7011095700416089,0.7028154327424401,0.7019614650234335,0.815182541601845,,,0.8978209228434613,0.5212649767707229,0.7095429498070921,True,12,False,7,False,7,7,True,install_current_segmentation,primary profile,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/phase9d_ae128_uint8_validation.json,89cc7c706fc3383106a5680d3d54d5fb514dcd5d808c13d9eaf1a2c380785963,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/settings/q0000.json,1b844d51ea4e7c50078c0f1f1480f8b801e054efc04664b3c17217f53d22613e
19,split_ae128_uint8_q3000,SPLIT,AE128,128,UINT8,8,0.3,3000,15053,6451,1,CURRENT_CELL_MAJOR,1,0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,204186532,AE128_DECODER_0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,1930546,1673599.0,1689775.4,0.07600310443076203,1.0,0.930286599535244,0.8675059333402125,0.8978000854335754,0.48195888720354085,0.7513884351519111,0.59400826446281,0.6634934371844801,0.8333870762020209,0.6528662420382165,0.7125477928397637,0.6814026923716138,0.8109992993044715,,,0.8882875819219526,0.5100791000246124,0.6991833409732825,False,11,False,7,False,5,7,True,install_current_segmentation,primary profile,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/phase9d_ae128_uint8_validation.json,89cc7c706fc3383106a5680d3d54d5fb514dcd5d808c13d9eaf1a2c380785963,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/settings/q3000.json,ebe493d7313c245c11ffde1d9f20227e006fb23cb93811b3b0601640f1dbd425
20,split_ae128_uint8_q5000,SPLIT,AE128,128,UINT8,8,0.5,5000,10752,10752,1,CURRENT_CELL_MAJOR,1,0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,204186532,AE128_DECODER_0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,1380018,1209045.0,1218748.2,0.05490632666277326,1.0,0.9254058797718298,0.8704984005778558,0.8971127771574414,0.4893968203044741,0.7461290322580645,0.5973657024793388,0.6635111876075731,0.8261759591046256,0.6514285714285715,0.7132429614181439,0.6809357889497263,0.7994785443402012,,,0.8544549524141708,0.5039974931914152,0.679226222802793,False,11,False,7,False,5,7,True,install_current_segmentation,primary profile,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/phase9d_ae128_uint8_validation.json,89cc7c706fc3383106a5680d3d54d5fb514dcd5d808c13d9eaf1a2c380785963,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/settings/q5000.json,e4bd3dc8f872e44d85e016dc635d1c90155d3bfbb59ed2eb1d6322c0d6b66995
21,split_ae128_uint8_q7000,SPLIT,AE128,128,UINT8,8,0.7,7000,6451,15053,1,CURRENT_CELL_MAJOR,1,0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,204186532,AE128_DECODER_0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,829490,733074.0,737449.6,0.03329106899411175,1.0,0.9057900956064024,0.8700856464761119,0.8875789473684211,0.5321056818268167,0.6969787615913849,0.6017561983471075,0.645876645876646,0.8518478373341022,0.5950653120464441,0.7125477928397637,0.6485289465359064,0.8142804955001882,,,0.7716221742838556,0.47206109177109623,0.6218416330274759,False,9,False,4,False,5,7,False,retain_previous_segmentation_layer_with_original_timestamp,primary profile,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/phase9d_ae128_uint8_validation.json,89cc7c706fc3383106a5680d3d54d5fb514dcd5d808c13d9eaf1a2c380785963,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/settings/q7000.json,2cdb795d97274280360733f1f0050f1b8d1394c31c851117d510deffac98bb86
22,split_ae128_uint8_q9000,SPLIT,AE128,128,UINT8,8,0.9,9000,2150,19354,1,CURRENT_CELL_MAJOR,1,0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,204186532,AE128_DECODER_0c2ba3a495684c0f8222492f554eb3de7c7a76181e0bd4b4a83529897db30f72,278962,248558.0,249885.0,0.011287757480197674,1.0,0.8312811980033278,0.7732948096171706,0.8012402437720518,0.7325707899683028,0.5665378244064053,0.5299586776859504,0.5476381104883906,0.8757267570359597,0.47172774869109946,0.6263468891206118,0.5381514110795879,0.8381326711670714,,,0.4435684689947239,0.3659445305910281,0.404756499792876,False,7,False,3,False,3,7,False,retain_previous_segmentation_layer_with_original_timestamp,stress/emergency profile,True,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/phase9d_ae128_uint8_validation.json,89cc7c706fc3383106a5680d3d54d5fb514dcd5d808c13d9eaf1a2c380785963,experiments/splitfusion_fcos_ae_v1/20260903_phase9d_ae128_uint8_validation/settings/q9000.json,0487182e2de4087f93ce64e142097a89a937f98c09c47a72ba067facffd1d633
