seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
63,1665092760775953,1787450447697231509,1,1,1665092784893156,1,24.1172
64,1665092860782913,1787450447797238603,1,1,1665092884757005,1,23.9741
65,1665092960777961,1787450447897233585,1,1,1665092985085224,1,24.3073
66,1665093060783920,1787450447997240138,1,1,1665093086717600,1,25.9337
67,1665093160776817,1787450448097232600,1,1,1665093185183944,1,24.4071
68,1665093260857674,1787450448197313257,1,1,1665093361440051,1,100.5824
69,1665093360778566,1787450448297234133,1,1,1665093388052225,1,27.2737
70,1665093460784565,1787450448397240467,1,1,1665093488433776,1,27.6492
71,1665093560781354,1787450448497237190,1,1,1665093584911213,1,24.1299
72,1665093660785563,1787450448597241506,1,1,1665093688725364,1,27.9398
73,1665093760786457,1787450448697242220,1,1,1665093782965826,1,22.1794
74,1665093860869208,1787450448797325034,1,1,1665093881529497,1,20.6603
75,1665093960785497,1787450448897241185,1,1,1665093984065466,1,23.2800
76,1665094060781941,1787450448997237723,1,1,1665094083846588,1,23.0646
77,1665094160782321,1787450449097238008,1,1,1665094197785446,1,37.0031
78,1665094260803052,1787450449197259148,1,1,1665094283136946,1,22.3339
79,1665094360782442,1787450449297238188,1,1,1665094376701001,1,15.9186
80,1665094460778994,1787450449397234519,1,1,1665094483738748,1,22.9598
81,1665094560776992,1787450449497232610,1,1,1665094581200291,1,20.4233
82,1665094660809178,1787450449597264831,1,1,1665094682731653,1,21.9225
83,1665094760855358,1787450449697310770,1,1,1665094783013316,1,22.1580
84,1665094860784808,1787450449797240363,1,1,1665094883580828,1,22.7960
85,1665094960842615,1787450449897298223,1,1,1665094980961844,1,20.1192
86,1665095060747630,1787450449997203299,1,1,1665095082199975,1,21.4523
87,1665095160936096,1787450450097391789,1,1,1665095182456109,1,21.5200
88,1665095260786693,1787450450197242324,1,1,1665095280997317,1,20.2106
89,1665095360791429,1787450450297246832,1,1,1665095371395176,1,10.6037
90,1665095460788971,1787450450397244681,1,1,1665095480739629,1,19.9507
91,1665095560786090,1787450450497241913,1,1,1665095576704943,1,15.9189
92,1665095660789103,1787450450597244622,1,1,1665095674237713,1,13.4486
93,1665095760782756,1787450450697238420,1,1,1665095782292802,1,21.5100
94,1665095860787262,1787450450797242819,1,1,1665095875058880,1,14.2716
95,1665095960897078,1787450450897352466,1,1,1665095973511210,1,12.6141
96,1665096060938951,1787450450997394717,1,1,1665096086358245,1,25.4193
97,1665096160777320,1787450451097232741,1,1,1665096187875226,1,27.0979
98,1665096260777953,1787450451197233534,1,1,1665096283299591,1,22.5216
99,1665096360885536,1787450451297341434,1,1,1665096382026207,1,21.1407
100,1665096460781453,1787450451397236870,1,1,1665096490307023,1,29.5256
101,1665096560783499,1787450451497239256,1,1,1665096584976598,1,24.1931
102,1665096660790388,1787450451597246476,1,1,1665096687809192,1,27.0188
103,1665096760791184,1787450451697247000,1,1,1665096784922872,1,24.1317
104,1665096860789131,1787450451797244564,1,1,1665096879918370,1,19.1292
105,1665096960791607,1787450451897247118,1,1,1665096974128502,1,13.3369
106,1665097060786443,1787450451997241845,1,1,1665097074670653,1,13.8842
107,1665097160789671,1787450452097245408,1,1,1665097186974998,1,26.1853
108,1665097260778839,1787450452197234240,1,1,1665097284565200,1,23.7864
109,1665097360778907,1787450452297234792,1,1,1665097386842307,1,26.0634
110,1665097460776293,1787450452397231681,1,1,1665097485315875,1,24.5396
111,1665097560783333,1787450452497239145,1,1,1665097586805224,1,26.0219
112,1665097660778678,1787450452597234340,1,1,1665097686866897,1,26.0882
113,1665097760778410,1787450452697233974,1,1,1665097784050566,1,23.2722
114,1665097860780412,1787450452797235831,1,1,1665097882005234,1,21.2248
115,1665097960782249,1787450452897237738,1,1,1665097981742944,1,20.9607
116,1665098060865322,1787450452997321089,1,1,1665098082268400,1,21.4031
117,1665098160856165,1787450453097311706,1,1,1665098180739880,1,19.8837
118,1665098260886785,1787450453197342482,1,1,1665098285332732,1,24.4459
119,1665098360866115,1787450453297322150,1,1,1665098387460260,1,26.5941
120,1665098460869398,1787450453397324914,1,1,1665098486536939,1,25.6675
121,1665098560879568,1787450453497335607,1,1,1665098583895329,1,23.0158
122,1665098660897727,1787450453597353417,1,1,1665098681437768,1,20.5400
123,1665098760873239,1787450453697329156,1,1,1665098782037546,1,21.1643
124,1665098860779952,1787450453797235486,1,1,1665098881979229,1,21.1993
125,1665098960965296,1787450453897421387,1,1,1665098981200727,1,20.2354
126,1665099060778502,1787450453997234328,1,1,1665099081065974,1,20.2875
127,1665099160786502,1787450454097242544,1,1,1665099182068337,1,21.2818
128,1665099260778157,1787450454197233759,1,1,1665099285165894,1,24.3877
129,1665099360745617,1787450454297201082,1,1,1665099383009272,1,22.2637
130,1665099460789729,1787450454397245139,1,1,1665099481718734,1,20.9290
131,1665099560784022,1787450454497239884,1,1,1665099576449540,1,15.6655
132,1665099660793083,1787450454597248892,1,1,1665099689586300,1,28.7932
133,1665099760790930,1787450454697246534,1,1,1665099786210384,1,25.4195
134,1665099860781383,1787450454797236990,1,1,1665099882991944,1,22.2106
135,1665099960865512,1787450454897321193,1,1,1665099979600174,1,18.7347
136,1665100060868770,1787450454997324702,1,1,1665100080218535,1,19.3498
137,1665100160778001,1787450455097233408,1,1,1665100182262180,1,21.4842
138,1665100260778769,1787450455197234319,1,1,1665100283325353,1,22.5466
139,1665100360785804,1787450455297241424,1,1,1665100381455161,1,20.6694
140,1665100460785504,1787450455397241127,1,1,1665100475387731,1,14.6022
141,1665100560782985,1787450455497239084,1,1,1665100578806090,1,18.0231
142,1665100660778914,1787450455597234902,1,1,1665100680728466,1,19.9496
143,1665100760786241,1787450455697242530,1,1,1665100781950933,1,21.1647
144,1665100860778415,1787450455797233970,1,1,1665100875519482,1,14.7411
145,1665100960784004,1787450455897239793,1,1,1665100978481851,1,17.6978
146,1665101060776336,1787450455997231907,1,1,1665101079330391,1,18.5541
147,1665101160802544,1787450456097257941,1,1,1665101180144022,1,19.3415
